,agent1
0,1.2216578
1,1.2299438
2,1.2378966
3,1.2330872
4,1.2245203
5,1.2323364
6,1.2608914
7,1.22698
8,1.2383409
9,1.2389022
10,1.2352703
11,1.2405298
12,1.2356129
13,1.2463728
14,1.235375
15,1.2537329
16,1.2260964
17,1.222818
18,1.2350973
19,1.2211533
20,1.2221208
21,1.2313457
22,1.236699
23,1.2244211
24,1.2410413
25,1.2294273
26,1.2075466
27,1.2393464
28,1.2342674
29,1.2384427
30,1.2388026
31,1.2416598
32,1.2431865
33,1.231346
34,1.2370213
35,1.2331334
36,1.2301916
37,1.2301023
38,1.2211155
39,1.2393727
40,1.230273
41,1.2478142
42,1.2512817
43,1.2402256
44,1.2436035
45,1.2318571
46,1.2313256
47,1.2554362
48,1.247136
49,1.233262
50,1.229448
51,1.2275453
52,1.2435279
53,1.2319034
54,1.2310205
55,1.2376858
56,1.226124
57,1.2280866
58,1.2469866
59,1.2400984
60,1.212299
61,1.2415041
62,1.2284709
63,1.2339784
64,1.2371045
65,1.2241331
66,1.2254934
67,1.2388904
68,1.2512144
69,1.2323879
70,1.2471279
71,1.2574366
72,1.232587
73,1.2451823
74,1.222753
75,1.211391
76,1.2235501
77,1.2212392
78,1.2356256
79,1.230858
80,1.25003
81,1.2430196
82,1.2319143
83,1.2344413
84,1.2370607
85,1.2243469
86,1.2329291
87,1.2359382
88,1.230239
89,1.2425733
90,1.2480403
91,1.2382443
92,1.2413683
93,1.2432954
94,1.2355031
95,1.234352
96,1.2240558
97,1.2209654
98,1.237208
99,1.2188689
100,1.243717
101,1.2457775
102,1.2531154
103,1.2429
104,1.2225573
105,1.2243823
106,1.2412401
107,1.234114
108,1.2285423
109,1.2032229
110,1.2265989
111,1.239136
112,1.223776
113,1.227959
114,1.2230161
115,1.2522067
116,1.2370762
117,1.2502335
118,1.2363695
119,1.2342845
120,1.2290465
121,1.2290965
122,1.2462755
123,1.2377151
124,1.251184
125,1.2306544
126,1.2186621
127,1.2501341
128,1.2362818
129,1.2425205
130,1.2299095
131,1.2415156
132,1.2391446
133,1.2402384
134,1.2428149
135,1.2238438
136,1.2360982
137,1.2500498
138,1.2371664
139,1.2361436
140,1.2342478
141,1.2336066
142,1.2454374
143,1.220818
144,1.2203492
145,1.2377858
146,1.2305768
147,1.2504841
148,1.249095
149,1.214125
150,1.2333089
151,1.2319986
152,1.239552
153,1.2313293
154,1.232361
155,1.2416487
156,1.2286605
157,1.2156568
158,1.2402511
159,1.21337
160,1.2429591
161,1.2356682
162,1.2235993
163,1.2380713
164,1.2257898
165,1.2208927
166,1.2279902
167,1.2231548
168,1.2160145
169,1.2324592
170,1.2470975
171,1.2214077
172,1.224577
173,1.2420954
174,1.2402942
175,1.2343425
176,1.2480016
177,1.2290593
178,1.2417637
179,1.2173443
180,1.2327332
181,1.2414331
182,1.2532338
183,1.2418606
184,1.2150865
185,1.2098254
186,1.2236161
187,1.2262595
188,1.22129
189,1.222156
190,1.2385134
191,1.2325784
192,1.2401509
193,1.2271527
194,1.243925
195,1.2481523
196,1.227812
197,1.2353995
198,1.2489446
199,1.2417302
200,1.225353
201,1.2390883
202,1.229102
203,1.2087735
204,1.2373022
205,1.2407981
206,1.23485
207,1.2212629
208,1.2379915
209,1.2102456
210,1.2478493
211,1.2295431
212,1.2228959
213,1.2510973
214,1.2285237
215,1.2374405
216,1.2370121
217,1.249437
218,1.2421826
219,1.2400461
220,1.2346805
221,1.2253097
222,1.2348384
223,1.2246026
224,1.2418947
225,1.2378075
226,1.2492738
227,1.2286272
228,1.2267536
229,1.2363944
230,1.2297411
231,1.2456279
232,1.2296934
233,1.2273917
234,1.2303169
235,1.2360531
236,1.221534
237,1.206142
238,1.2300606
239,1.2376246
240,1.2417204
241,1.2306141
242,1.2508051
243,1.2378396
244,1.2361405
245,1.2172446
246,1.2265495
247,1.2332885
248,1.2465218
249,1.231316
250,1.2265372
251,1.2429678
252,1.2304041
253,1.2353284
254,1.2183102
255,1.2367697
256,1.2481045
257,1.2353847
258,1.2110724
259,1.2402467
260,1.2137246
261,1.22812
262,1.2497474
263,1.2369366
264,1.2365726
265,1.2376096
266,1.2347248
267,1.2546946
268,1.2138721
269,1.2285336
270,1.2256355
271,1.2315148
272,1.2572342
273,1.2455964
274,1.2358929
275,1.2415949
276,1.2105644
277,1.2336892
278,1.2232995
279,1.2373075
280,1.2405392
281,1.2431228
282,1.235162
283,1.2311836
284,1.2390163
285,1.2317325
286,1.22664
287,1.2294347
288,1.2228093
289,1.208229
290,1.2420949
291,1.2382213
292,1.2231679
293,1.2308434
294,1.2105973
295,1.2403809
296,1.2269238
297,1.235776
298,1.241658
299,1.2239356
300,1.2328231
301,1.2203832
302,1.2352239
303,1.239369
304,1.2322779
305,1.2367045
306,1.2170751
307,1.2457008
308,1.2345983
309,1.2378107
310,1.234915
311,1.2209046
312,1.2410215
313,1.2413459
314,1.2319779
315,1.2208939
316,1.2364805
317,1.2403178
318,1.2311885
319,1.2425519
320,1.2168283
321,1.2178832
322,1.2324514
323,1.228498
324,1.2203783
325,1.2323575
326,1.2326142
327,1.2376074
328,1.2402648
329,1.2280015
330,1.2164507
331,1.2382783
332,1.2183595
333,1.2292359
334,1.2215526
335,1.2332015
336,1.2383873
337,1.2416888
338,1.2318135
