,EX_A_sp1,EX_B_sp1,EX_A_sp2,EX_B_sp2
0,-1.3823726,0.5867936,0.4497372,-1.376621
1,-1.3959885,0.5563262,0.4762243,-1.3798655
2,-1.3973567,0.5748989,0.45982572,-1.3733128
3,-1.3813161,0.5703039,0.4519741,-1.3794832
4,-1.3576249,0.5863245,0.46924475,-1.3678707
5,-1.3765215,0.5712923,0.45721444,-1.3859806
6,-1.3913544,0.5895588,0.44295856,-1.3906043
7,-1.3855647,0.5920956,0.4537624,-1.371214
8,-1.380359,0.58065945,0.4499125,-1.3768418
9,-1.3767668,0.5867935,0.46156687,-1.3853376
10,-1.3774749,0.5662588,0.4643857,-1.3875905
11,-1.3814667,0.5695517,0.45720023,-1.3491218
12,-1.3944083,0.56599987,0.45161963,-1.3653817
13,-1.3864992,0.5794709,0.46472296,-1.3786603
14,-1.3906614,0.57706535,0.4691278,-1.3775666
15,-1.3930067,0.5656177,0.46563473,-1.380355
16,-1.397287,0.5891708,0.46153226,-1.3969272
17,-1.3842193,0.5887964,0.45233583,-1.3763138
18,-1.3745432,0.56675863,0.46484312,-1.3729005
19,-1.3978128,0.57803965,0.4591171,-1.3808194
20,-1.3859012,0.56717104,0.4598766,-1.3730017
21,-1.3717779,0.5792116,0.46487606,-1.3932669
22,-1.372224,0.56874996,0.47978008,-1.3714541
23,-1.3941091,0.5763279,0.460556,-1.3848934
24,-1.3838632,0.57642496,0.47152573,-1.3828096
25,-1.3927261,0.5743424,0.47067758,-1.3990308
26,-1.3711054,0.6030817,0.44823307,-1.3818427
27,-1.3878175,0.5917609,0.46623993,-1.3922825
28,-1.3904444,0.58434933,0.47836736,-1.388048
29,-1.4001445,0.56669676,0.44353184,-1.3712158
30,-1.3727608,0.5633038,0.4547626,-1.3791789
31,-1.3960238,0.5577997,0.45264992,-1.3952641
32,-1.3862722,0.5888437,0.47569,-1.3744361
33,-1.3718065,0.5888649,0.45975256,-1.3839345
34,-1.3821822,0.5702419,0.45119607,-1.3586162
35,-1.3789169,0.5866863,0.45168954,-1.3578944
36,-1.3738849,0.58092415,0.47138107,-1.3746355
37,-1.3650872,0.5612467,0.44196728,-1.3772758
38,-1.4024692,0.5817004,0.46344423,-1.3831317
39,-1.3631663,0.5880605,0.44908887,-1.3817071
40,-1.3807517,0.5817925,0.41921932,-1.3833965
41,-1.383311,0.58371055,0.4583839,-1.3779263
42,-1.3846849,0.57814133,0.44671145,-1.366912
43,-1.3858943,0.58114964,0.46215454,-1.3738533
44,-1.3802054,0.5746533,0.44401726,-1.3620535
45,-1.3878522,0.5822382,0.45297977,-1.3747395
46,-1.3894482,0.58691096,0.4777704,-1.3844322
47,-1.3927648,0.58289015,0.4539466,-1.38044
48,-1.3819742,0.56893075,0.47929174,-1.3942134
49,-1.3846731,0.5540259,0.45725206,-1.3836317
50,-1.3793949,0.5793012,0.4653582,-1.3729942
51,-1.3856828,0.58472097,0.4589381,-1.3725111
52,-1.3921928,0.56513846,0.48307362,-1.3625726
53,-1.3780177,0.57625294,0.45866084,-1.3628304
54,-1.3993024,0.5652404,0.4469703,-1.3684751
55,-1.3941447,0.5998822,0.46541962,-1.3794361
56,-1.3762819,0.5602931,0.45303413,-1.3845407
57,-1.3822219,0.5902757,0.45052582,-1.3810288
58,-1.3917435,0.5749827,0.45647258,-1.3638215
59,-1.3644296,0.5807287,0.4685046,-1.3645539
60,-1.3747627,0.574498,0.48108283,-1.3752578
61,-1.3762052,0.5681611,0.4740908,-1.389933
62,-1.3903338,0.5685164,0.4629722,-1.3830701
63,-1.3916426,0.56019926,0.45789254,-1.383965
64,-1.397971,0.56534296,0.45283827,-1.3858202
65,-1.365753,0.5750817,0.4630877,-1.3908806
66,-1.3950424,0.5714971,0.43231088,-1.3906949
