,EX_A_sp1,EX_B_sp1,EX_A_sp2,EX_B_sp2
0,-0.9708776,-0.34395468,-0.5889221,-0.8352388
1,-0.9840237,-0.35634553,-0.58330804,-0.8227975
2,-0.9892114,-0.3555483,-0.57649827,-0.84211963
3,-0.96917415,-0.35783613,-0.591833,-0.8349745
4,-0.9747209,-0.36721116,-0.57224673,-0.84567386
5,-0.9772308,-0.3430412,-0.5664824,-0.83043313
6,-0.9811228,-0.3614268,-0.5767071,-0.84031475
7,-0.96976566,-0.3568081,-0.59527147,-0.8494963
8,-0.9774713,-0.34882116,-0.5847311,-0.848081
9,-0.9830222,-0.3511179,-0.5951049,-0.82008487
10,-0.9817748,-0.3365618,-0.5776873,-0.8283895
11,-0.96437657,-0.34904352,-0.578055,-0.85892016
12,-0.97558445,-0.35924137,-0.5710982,-0.86512077
13,-0.9648375,-0.35321206,-0.5678453,-0.8414399
14,-0.9711036,-0.3379137,-0.571619,-0.84396666
15,-0.98796606,-0.3525368,-0.5641881,-0.8495075
16,-0.9895727,-0.33590716,-0.58975244,-0.8309734
17,-0.9641268,-0.35863155,-0.59356415,-0.84249985
18,-0.97476256,-0.35481647,-0.58948004,-0.848105
19,-0.97165054,-0.3444559,-0.5745651,-0.84865785
20,-0.9799509,-0.36751935,-0.5894013,-0.8552478
21,-0.9797348,-0.35519147,-0.5879171,-0.8309076
22,-0.9979806,-0.3511237,-0.5840091,-0.8470866
23,-0.9729421,-0.3535889,-0.59785676,-0.8365667
24,-0.9828666,-0.3483479,-0.56753606,-0.84823406
25,-0.9866738,-0.35700345,-0.5688082,-0.8311258
26,-0.98051685,-0.34955618,-0.5875027,-0.85827154
27,-0.9833488,-0.37248686,-0.5849693,-0.83783454
28,-0.9863316,-0.3517479,-0.58551055,-0.8402561
29,-0.9689287,-0.36483452,-0.5840352,-0.8314519
30,-0.9783188,-0.3452005,-0.59243244,-0.840138
31,-0.96664655,-0.35125247,-0.586175,-0.84254366
32,-0.98829347,-0.33544815,-0.58733785,-0.8358008
33,-0.98289686,-0.3395017,-0.5900068,-0.8568488
34,-0.9951042,-0.3296228,-0.5966862,-0.8364561
35,-0.9694228,-0.36298534,-0.59503275,-0.84627867
36,-0.99274397,-0.37333092,-0.5943791,-0.85034156
