,agent1,agent2
0,-7027.866,-7093.847
1,-6970.2817,-7094.7393
2,-7022.045,-7099.7046
3,-7006.333,-7115.1343
4,-7025.547,-7095.8965
5,-6992.0215,-7101.24
6,-6979.1333,-7076.5605
7,-6997.5967,-7117.3135
8,-6968.018,-7064.1714
9,-6994.6045,-7088.836
10,-7019.921,-7083.6934
11,-7009.0273,-7087.462
12,-6981.555,-7049.2417
13,-6993.373,-7103.74
14,-6992.8447,-7100.9487
15,-6989.785,-7109.907
16,-7019.6406,-7113.153
17,-6994.547,-7107.4805
18,-7027.9756,-7129.964
19,-7029.169,-7123.6035
20,-7019.728,-7074.9414
21,-7010.5527,-7091.2305
22,-7029.5264,-7112.9404
23,-6990.449,-7105.0225
24,-6989.5093,-7108.551
25,-6995.7295,-7126.3906
26,-7007.296,-7106.6704
27,-6999.46,-7081.2617
28,-7019.0474,-7120.6504
29,-7014.684,-7096.666
30,-7017.9307,-7106.2686
31,-7017.0913,-7106.368
32,-7024.262,-7117.46
33,-7057.6455,-7103.427
34,-7034.8677,-7061.1514
35,-7054.9824,-7083.184
36,-7027.5513,-7108.4375
37,-7023.537,-7089.3594
38,-7036.03,-7138.999
39,-7033.181,-7119.5166
40,-7030.492,-7058.46
41,-7046.0693,-7082.23
42,-7062.0215,-7078.8438
43,-7086.5225,-7105.0024
44,-6999.9766,-7116.136
45,-7016.3867,-7104.5645
46,-7028.4814,-7111.6904
47,-7009.548,-7098.6396
48,-7029.885,-7093.3613
49,-7044.414,-7107.754
50,-7049.504,-7087.093
51,-7014.092,-7118.0986
52,-7052.087,-7131.6772
53,-7033.501,-7108.9976
54,-7022.007,-7118.98
55,-7015.967,-7090.4434
56,-7049.62,-7092.7266
57,-7054.619,-7094.4736
58,-7001.9507,-7087.9165
59,-7017.372,-7109.6997
60,-7042.3726,-7128.5596
61,-7054.2783,-7086.701
62,-7002.366,-7111.676
63,-7042.802,-7124.555
64,-7055.3945,-7129.6836
65,-7017.758,-7132.74
66,-6995.9946,-7089.6055
67,-7032.432,-7133.8687
68,-7016.3364,-7118.38
69,-7000.214,-7087.8496
70,-7025.2075,-7107.152
71,-7028.6426,-7155.119
72,-7002.9907,-7064.3677
73,-7021.073,-7107.96
74,-7020.541,-7121.4316
75,-7036.3594,-7104.8076
76,-7057.5664,-7115.341
77,-7010.915,-7114.9443
78,-7013.7314,-7089.371
79,-7018.214,-7109.523
80,-7038.173,-7053.651
81,-7017.3438,-7130.621
82,-7041.08,-7116.063
83,-7019.7134,-7117.9316
84,-7002.7334,-7108.055
85,-7023.698,-7089.1123
86,-7048.5264,-7121.0527
87,-7035.029,-7122.0234
88,-7039.337,-7127.607
89,-7021.412,-7081.449
90,-7051.4927,-7127.8677
91,-7007.038,-7081.2017
92,-7011.2373,-7125.48
93,-7055.401,-7145.6006
94,-7030.9995,-7137.8076
95,-7069.6797,-7125.6377
96,-7037.1587,-7120.324
97,-7044.492,-7116.823
98,-7027.4653,-7142.026
99,-7052.839,-7079.954
100,-7047.147,-7083.0054
101,-7044.0137,-7148.705
102,-7058.924,-7084.926
103,-7032.9683,-7104.9688
104,-7042.6973,-7129.121
105,-7037.709,-7088.212
106,-7029.565,-7109.957
107,-7038.4434,-7092.734
108,-7030.201,-7090.6646
109,-7012.521,-7105.082
110,-7067.193,-7099.169
111,-7064.3374,-7104.3975
112,-7021.27,-7127.6597
113,-7064.411,-7129.6797
114,-7002.616,-7112.928
115,-7076.155,-7100.0723
116,-7038.079,-7124.323
117,-7040.3164,-7136.6206
118,-7044.3223,-7111.6562
119,-7038.833,-7134.375
120,-7022.566,-7141.8696
121,-7048.5156,-7116.825
122,-7052.383,-7107.5537
123,-7056.001,-7118.9253
124,-7002.1426,-7095.1367
125,-7060.3203,-7100.712
126,-7034.883,-7134.4175
127,-7063.951,-7104.3394
128,-7051.9746,-7107.8267
129,-7041.7246,-7119.2104
130,-7033.6855,-7161.668
131,-7060.5093,-7113.2256
132,-7006.9263,-7140.9243
133,-7026.077,-7095.725
134,-7050.9883,-7151.0024
135,-7042.478,-7108.372
136,-7040.496,-7143.321
137,-7010.6235,-7125.3564
138,-7008.6836,-7131.7188
139,-7036.9663,-7098.4834
140,-7029.098,-7127.0884
141,-7044.765,-7119.1123
142,-7069.959,-7093.948
143,-7049.3926,-7137.4595
144,-7071.761,-7150.045
145,-7074.8066,-7099.615
146,-7040.59,-7114.791
147,-7062.6733,-7154.365
148,-7049.9463,-7095.6177
149,-7063.3545,-7111.8716
150,-7025.7104,-7118.619
151,-7041.288,-7110.3896
152,-7044.379,-7077.327
153,-7054.506,-7158.817
154,-7047.9624,-7112.2256
155,-7019.8804,-7106.7456
156,-7071.441,-7109.8315
157,-7028.253,-7129.148
158,-7069.3633,-7115.2896
159,-7052.0566,-7121.6577
160,-7053.406,-7119.632
161,-7057.0903,-7128.5327
162,-7019.6978,-7134.451
163,-7034.103,-7138.2666
164,-7055.714,-7108.4424
165,-7047.1436,-7111.912
166,-7064.489,-7076.4814
167,-7036.5254,-7116.4375
168,-7052.328,-7127.981
169,-7011.741,-7119.88
170,-7020.0195,-7089.857
171,-7030.759,-7144.198
172,-7032.635,-7155.2305
173,-7051.0566,-7097.31
174,-7056.253,-7081.798
175,-7017.5596,-7101.0024
176,-7044.877,-7122.5
177,-7062.5947,-7099.6694
178,-7074.069,-7132.083
179,-7043.958,-7137.668
180,-7071.2803,-7125.9004
181,-7076.208,-7124.427
182,-7078.658,-7119.2734
183,-7048.1836,-7069.634
184,-7072.6133,-7156.119
185,-7016.1055,-7107.4814
186,-7086.177,-7133.6855
187,-7092.7188,-7150.2266
188,-7058.955,-7132.2285
189,-7017.095,-7135.6523
190,-7102.7383,-7135.869
191,-7042.2373,-7145.084
192,-7078.6533,-7074.2217
193,-7054.846,-7114.865
194,-7065.582,-7099.881
195,-7017.448,-7144.7026
196,-7055.096,-7092.6455
197,-7021.588,-7133.153
198,-7069.3096,-7138.994
199,-7075.166,-7095.49
200,-7067.6577,-7122.2354
201,-7114.6553,-7107.259
202,-7078.066,-7142.5107
203,-7049.698,-7124.5576
204,-7064.6396,-7140.464
205,-7069.2197,-7129.513
206,-7045.206,-7095.501
207,-7058.7715,-7133.6455
208,-7043.646,-7123.464
209,-7086.491,-7109.9375
210,-7078.3423,-7119.416
211,-7027.6475,-7127.7646
212,-7056.26,-7146.3037
213,-7051.868,-7136.4595
214,-7084.7,-7125.7256
215,-7069.1895,-7080.958
216,-7064.312,-7133.927
217,-7060.112,-7124.3057
218,-7071.259,-7109.5703
219,-7039.9473,-7111.731
220,-7035.8223,-7113.405
221,-7069.603,-7145.3115
222,-7072.184,-7122.437
223,-7061.8936,-7121.27
224,-7076.6235,-7149.288
225,-7081.8506,-7127.6055
226,-7091.1465,-7114.279
227,-7067.7666,-7136.238
228,-7068.578,-7139.903
229,-7082.306,-7111.2124
230,-7100.2344,-7153.7847
231,-7062.6895,-7127.5273
232,-7131.4414,-7107.006
233,-7070.29,-7120.624
234,-7093.8076,-7129.7563
235,-7091.9424,-7094.8975
236,-7084.3755,-7159.9717
237,-7086.7627,-7113.4326
238,-7086.196,-7118.3647
239,-7089.2295,-7099.34
240,-7033.335,-7139.232
241,-7058.002,-7132.975
242,-7070.548,-7112.2617
243,-7066.9956,-7117.037
244,-7090.5776,-7105.6577
245,-7089.364,-7114.147
246,-7103.9443,-7112.494
247,-7058.8667,-7080.8975
248,-7059.6914,-7129.442
249,-7078.078,-7135.8535
250,-7083.7754,-7136.5234
