,agent1,agent2
0,-362.3936,-362.3314
1,-360.41513,-365.7909
2,-360.68185,-352.95673
3,-360.0444,-364.88654
4,-363.95828,-365.85843
5,-361.87302,-361.10614
6,-359.02664,-366.3975
7,-363.19458,-362.5561
8,-364.5486,-363.7108
9,-367.54126,-369.83954
10,-360.45648,-359.3204
11,-361.7063,-361.3707
12,-361.3878,-362.25055
13,-367.06314,-368.4641
14,-362.72452,-363.82898
15,-357.38544,-364.8087
16,-357.12585,-362.36182
17,-357.56427,-354.4409
18,-359.50116,-366.80423
19,-363.4973,-363.62463
20,-365.20648,-359.82654
21,-363.61774,-356.9557
22,-359.29105,-367.55914
23,-364.07523,-363.3547
24,-359.5091,-358.13327
25,-360.01913,-360.82166
26,-369.43414,-362.34076
27,-369.26367,-368.38727
28,-365.3469,-358.9771
29,-361.20944,-363.58917
30,-360.81546,-362.79095
31,-352.48904,-365.3919
32,-362.59644,-367.661
33,-361.76242,-368.92798
34,-355.87793,-363.2724
35,-359.80316,-362.2523
36,-363.9953,-365.13647
37,-362.56226,-371.40405
38,-364.9934,-369.94043
39,-358.45367,-363.53064
40,-356.69098,-361.89813
41,-361.82123,-368.6902
42,-355.44495,-365.85925
43,-359.82922,-359.3385
44,-353.73813,-363.23032
45,-364.51184,-357.53043
46,-362.79294,-363.19568
47,-362.81555,-362.10373
48,-358.88666,-368.8598
49,-357.38876,-366.81442
50,-358.69562,-365.68567
51,-362.50546,-361.35883
52,-360.07227,-361.3958
53,-361.84286,-370.3064
54,-366.45148,-361.0901
55,-360.10815,-363.77332
56,-360.41248,-366.1827
57,-365.5601,-355.51242
58,-361.50467,-363.8791
59,-357.15485,-352.79572
60,-355.33142,-363.3178
61,-359.393,-361.12204
62,-368.49548,-355.3748
63,-359.96542,-362.88165
64,-362.00928,-360.14066
65,-364.20764,-361.8133
66,-364.2068,-364.42517
67,-364.76782,-356.75195
68,-359.1537,-362.96368
69,-364.4498,-361.47467
70,-362.10196,-363.20795
71,-357.46085,-362.44022
72,-358.53253,-360.39233
73,-370.10834,-359.0103
74,-368.76764,-355.6002
75,-358.96207,-367.12317
76,-365.001,-368.3384
77,-369.29242,-362.0364
78,-361.53604,-356.48523
79,-360.79953,-356.14777
80,-360.3781,-362.8017
81,-362.83603,-362.03494
82,-360.12457,-365.82346
83,-359.6917,-356.2638
84,-359.10757,-361.7462
85,-355.05957,-359.09256
86,-364.31418,-368.7344
87,-364.3011,-367.93256
88,-360.47742,-355.47397
89,-369.55502,-362.34436
90,-365.48474,-358.37738
91,-372.41455,-369.67
92,-354.3013,-361.70523
93,-360.39227,-356.57825
94,-359.3391,-357.57782
95,-353.54865,-368.65323
96,-359.2994,-359.3377
97,-356.20544,-365.05005
98,-367.2012,-360.54538
99,-364.36954,-363.67822
100,-356.67508,-368.7575
101,-365.9642,-368.97452
102,-363.30148,-360.70847
103,-356.4486,-361.03986
104,-361.27356,-365.34302
105,-364.10974,-356.26422
106,-361.67975,-357.7928
107,-367.16495,-364.73938
108,-367.4751,-365.13367
109,-363.52487,-362.64374
110,-361.57666,-363.03735
111,-364.46094,-359.04443
112,-359.1376,-364.40805
113,-365.10934,-361.61426
114,-363.17273,-358.79138
115,-364.52112,-355.30704
116,-363.3002,-358.82117
117,-358.84137,-358.2258
118,-363.7138,-358.55927
119,-359.06485,-368.43546
120,-354.14685,-369.72363
121,-359.1336,-356.46344
122,-367.8053,-362.74557
123,-365.37744,-366.46906
124,-365.9072,-362.4704
125,-358.60257,-362.60138
126,-360.72577,-365.42072
127,-364.457,-363.48315
128,-360.67142,-363.34076
129,-352.11163,-361.6636
130,-363.46082,-356.62387
131,-363.98923,-360.61636
132,-362.86432,-367.16034
133,-363.55945,-363.22003
134,-363.22067,-361.0576
135,-368.06824,-369.19153
136,-359.68756,-360.86026
137,-358.46805,-360.23492
138,-361.27228,-365.10065
139,-364.73297,-356.572
140,-366.7044,-365.90295
141,-371.97144,-366.96356
142,-367.71933,-363.9057
143,-360.3635,-362.9068
144,-366.63916,-355.65222
145,-363.3366,-359.25873
146,-360.05212,-358.66516
147,-362.1881,-353.85815
148,-368.67044,-363.43527
149,-362.4952,-363.36798
150,-365.66937,-362.56055
151,-356.32263,-352.0813
152,-358.69373,-358.66956
153,-358.01962,-363.44434
154,-365.22015,-363.1546
155,-362.6823,-358.09515
156,-363.47995,-360.00723
157,-360.4888,-362.46582
158,-357.77213,-365.184
159,-359.03574,-356.45435
160,-358.81848,-355.94437
