,agent1,agent2
0,-14754.723,-14589.606
1,-14740.141,-14614.596
2,-14800.704,-14568.0625
3,-14791.387,-14613.652
4,-14801.764,-14592.686
5,-14731.67,-14558.581
6,-14762.596,-14540.49
7,-14728.827,-14593.355
8,-14768.4375,-14630.252
9,-14770.109,-14594.8955
10,-14739.281,-14602.086
11,-14775.658,-14614.972
12,-14739.914,-14608.9375
13,-14720.205,-14648.867
14,-14773.434,-14615.951
15,-14768.468,-14572.041
16,-14744.944,-14614.332
17,-14743.74,-14566.792
18,-14699.908,-14562.535
19,-14751.183,-14623.524
20,-14775.197,-14566.041
21,-14759.52,-14651.094
22,-14777.342,-14590.779
23,-14768.715,-14590.227
24,-14756.582,-14571.315
25,-14776.991,-14591.715
26,-14776.26,-14592.815
27,-14768.993,-14645.812
28,-14790.176,-14584.473
29,-14764.198,-14613.168
30,-14802.18,-14639.085
31,-14802.577,-14596.657
32,-14746.103,-14576.836
33,-14773.711,-14625.228
34,-14774.217,-14636.504
35,-14774.078,-14580.912
36,-14772.053,-14581.651
37,-14786.275,-14594.52
38,-14794.676,-14602.716
39,-14773.225,-14593.246
40,-14782.795,-14582.572
41,-14724.15,-14606.745
42,-14790.959,-14563.558
43,-14780.711,-14596.469
44,-14753.655,-14603.602
45,-14764.422,-14555.634
46,-14732.758,-14615.732
47,-14742.032,-14560.661
48,-14783.253,-14591.494
49,-14795.399,-14549.422
50,-14791.122,-14548.77
51,-14758.158,-14573.99
52,-14726.124,-14599.172
53,-14735.939,-14618.555
54,-14818.546,-14575.337
55,-14766.217,-14601.375
56,-14784.023,-14544.014
57,-14760.434,-14585.902
58,-14782.895,-14576.643
59,-14797.306,-14605.822
60,-14756.978,-14627.517
61,-14737.066,-14564.386
62,-14752.14,-14574.8955
63,-14745.302,-14570.607
64,-14752.869,-14618.4795
65,-14758.429,-14554.783
66,-14777.918,-14584.473
67,-14751.49,-14580.703
68,-14737.534,-14603.465
69,-14718.803,-14637.627
70,-14766.886,-14599.758
71,-14757.852,-14574.711
72,-14747.742,-14557.695
73,-14770.426,-14591.248
74,-14736.891,-14606.201
75,-14774.558,-14589.721
76,-14769.005,-14619.497
77,-14729.227,-14574.211
78,-14752.344,-14589.225
79,-14719.783,-14533.23
80,-14785.168,-14583.52
81,-14746.9375,-14602.635
82,-14760.201,-14567.218
83,-14747.859,-14635.043
84,-14725.598,-14590.264
85,-14752.67,-14607.973
86,-14760.102,-14597.983
87,-14770.279,-14598.299
88,-14747.875,-14577.892
89,-14771.746,-14580.248
90,-14746.664,-14566.58
91,-14784.381,-14571.982
92,-14779.094,-14550.235
93,-14769.512,-14605.547
94,-14788.23,-14557.595
95,-14732.712,-14561.184
96,-14758.423,-14560.832
97,-14752.219,-14602.181
98,-14757.1875,-14557.809
99,-14781.368,-14566.254
100,-14777.785,-14623.6
101,-14770.0,-14613.042
102,-14758.146,-14610.67
103,-14754.093,-14562.569
104,-14811.699,-14579.549
105,-14762.022,-14587.363
106,-14767.664,-14607.17
107,-14757.23,-14579.892
108,-14744.3545,-14586.584
109,-14747.773,-14602.211
110,-14761.661,-14593.405
111,-14741.68,-14561.207
112,-14757.729,-14607.465
113,-14798.424,-14558.43
114,-14752.428,-14598.8125
115,-14793.362,-14613.984
116,-14731.129,-14587.279
117,-14781.56,-14558.914
118,-14743.008,-14592.172
119,-14711.443,-14554.289
120,-14740.898,-14588.098
121,-14770.01,-14602.424
122,-14692.074,-14584.939
123,-14723.406,-14610.928
124,-14780.539,-14607.914
125,-14786.439,-14555.012
126,-14697.713,-14566.863
