,agent1,agent2
0,-14537.22,-14477.196
1,-14493.098,-14431.193
2,-14500.602,-14500.523
3,-14470.451,-14490.355
4,-14514.791,-14531.748
5,-14549.391,-14508.622
6,-14493.431,-14450.279
7,-14487.139,-14526.248
8,-14464.529,-14514.668
9,-14513.711,-14479.854
10,-14500.27,-14526.715
11,-14496.628,-14532.209
12,-14535.336,-14488.65
13,-14452.185,-14522.369
14,-14533.239,-14514.397
15,-14469.551,-14474.796
16,-14514.771,-14486.849
17,-14496.394,-14513.428
18,-14498.152,-14516.369
19,-14503.42,-14478.906
20,-14509.604,-14452.347
21,-14518.243,-14490.336
22,-14489.144,-14479.556
23,-14466.433,-14537.0625
24,-14526.385,-14485.202
25,-14505.648,-14478.482
26,-14456.358,-14469.943
27,-14519.894,-14493.24
28,-14501.418,-14505.215
29,-14496.025,-14475.229
30,-14453.881,-14518.118
31,-14445.29,-14475.024
32,-14510.865,-14533.052
33,-14490.649,-14501.545
34,-14499.658,-14498.165
35,-14564.621,-14537.23
36,-14547.344,-14513.838
37,-14530.738,-14511.267
38,-14533.293,-14460.955
39,-14518.75,-14491.967
40,-14490.333,-14518.759
41,-14462.056,-14509.78
42,-14480.27,-14522.292
43,-14499.811,-14506.066
44,-14485.981,-14470.279
45,-14478.821,-14535.9375
46,-14457.366,-14522.229
47,-14466.979,-14517.609
48,-14535.564,-14525.323
49,-14480.299,-14485.252
50,-14509.406,-14518.785
51,-14535.896,-14544.609
52,-14514.541,-14506.09
53,-14456.668,-14474.932
54,-14479.739,-14517.865
55,-14481.271,-14476.695
56,-14499.569,-14535.373
57,-14462.125,-14521.168
58,-14506.824,-14549.958
59,-14511.658,-14494.879
60,-14480.926,-14517.225
61,-14503.332,-14518.232
62,-14534.189,-14486.719
63,-14470.633,-14524.995
64,-14495.33,-14469.124
65,-14457.208,-14534.874
66,-14526.656,-14548.911
67,-14487.168,-14513.62
68,-14521.568,-14532.939
69,-14509.477,-14564.6875
70,-14513.819,-14503.531
71,-14500.439,-14546.561
72,-14561.74,-14534.038
73,-14498.237,-14533.291
74,-14505.389,-14511.395
75,-14504.608,-14539.594
76,-14516.113,-14467.93
77,-14512.936,-14528.439
78,-14518.574,-14539.077
79,-14493.529,-14513.006
80,-14482.904,-14519.887
81,-14478.311,-14514.367
82,-14514.314,-14509.397
83,-14561.344,-14518.136
84,-14506.547,-14500.283
85,-14493.125,-14532.73
86,-14494.859,-14573.3125
87,-14525.199,-14557.646
88,-14539.252,-14503.51
89,-14530.465,-14527.668
90,-14484.354,-14520.119
91,-14522.669,-14542.868
92,-14465.546,-14548.355
93,-14538.793,-14494.817
94,-14481.983,-14513.1875
95,-14482.533,-14481.531
96,-14489.802,-14492.365
97,-14511.744,-14566.24
98,-14504.204,-14499.445
99,-14526.186,-14477.995
100,-14497.875,-14522.211
101,-14471.036,-14540.869
102,-14530.251,-14521.729
103,-14468.054,-14488.541
104,-14511.358,-14552.062
105,-14487.426,-14547.502
106,-14533.603,-14525.338
107,-14518.427,-14533.841
108,-14479.262,-14555.402
109,-14484.454,-14538.754
110,-14491.895,-14527.226
111,-14509.672,-14542.727
112,-14471.117,-14494.359
113,-14466.631,-14525.793
114,-14496.608,-14488.346
115,-14473.697,-14521.406
116,-14504.636,-14543.593
117,-14536.841,-14522.488
118,-14497.287,-14547.197
119,-14537.401,-14522.352
120,-14531.193,-14520.9375
121,-14473.068,-14556.948
122,-14491.451,-14527.2295
123,-14485.874,-14538.334
124,-14513.941,-14551.674
125,-14558.461,-14541.333
126,-14520.078,-14528.658
127,-14463.064,-14509.323
128,-14498.453,-14541.168
129,-14503.016,-14503.6875
130,-14514.139,-14558.762
131,-14538.134,-14610.8125
132,-14533.902,-14557.447
133,-14553.299,-14515.619
134,-14527.203,-14548.928
135,-14539.906,-14549.235
136,-14529.749,-14571.443
137,-14501.654,-14499.689
138,-14465.641,-14502.666
139,-14482.478,-14564.656
140,-14486.332,-14538.49
141,-14524.953,-14588.316
142,-14526.449,-14571.013
143,-14486.411,-14543.174
144,-14484.736,-14560.215
145,-14542.05,-14541.365
146,-14508.426,-14478.658
147,-14518.498,-14537.639
148,-14506.482,-14526.727
149,-14544.481,-14505.41
150,-14528.609,-14480.877
151,-14466.762,-14540.822
152,-14526.391,-14542.515
153,-14505.061,-14586.506
154,-14499.165,-14506.15
155,-14480.946,-14513.087
156,-14501.977,-14518.4
157,-14507.923,-14509.514
158,-14523.332,-14483.52
159,-14474.643,-14488.82
160,-14509.201,-14522.566
161,-14524.98,-14463.155
162,-14485.148,-14490.96
163,-14518.004,-14473.932
164,-14529.607,-14505.623
165,-14504.818,-14508.652
166,-14497.585,-14523.289
167,-14493.974,-14564.203
168,-14541.469,-14536.865
169,-14496.273,-14517.078
170,-14501.879,-14500.867
171,-14510.4,-14545.986
172,-14458.047,-14543.801
173,-14517.486,-14510.534
174,-14491.661,-14486.119
175,-14488.906,-14470.678
176,-14545.425,-14502.707
177,-14485.785,-14518.35
178,-14498.482,-14531.547
179,-14507.645,-14536.289
180,-14488.429,-14524.604
181,-14492.18,-14486.372
182,-14516.091,-14524.229
183,-14548.283,-14513.902
184,-14552.684,-14482.061
185,-14493.977,-14551.023
186,-14509.452,-14528.182
187,-14479.587,-14525.971
188,-14562.273,-14541.391
189,-14469.245,-14472.588
190,-14534.176,-14492.721
191,-14482.027,-14526.764
192,-14548.509,-14568.3
193,-14536.82,-14507.983
194,-14523.128,-14561.268
195,-14510.506,-14490.662
196,-14486.4795,-14534.141
197,-14463.572,-14522.784
198,-14511.664,-14498.675
199,-14484.057,-14514.907
200,-14510.332,-14494.385
201,-14529.002,-14489.547
202,-14524.143,-14526.922
203,-14513.67,-14508.678
204,-14540.903,-14502.633
205,-14483.588,-14562.142
206,-14517.397,-14525.708
207,-14520.514,-14542.2705
208,-14555.847,-14541.093
209,-14541.271,-14566.75
210,-14493.639,-14501.343
211,-14511.834,-14504.513
212,-14506.896,-14501.656
213,-14482.221,-14535.457
214,-14491.178,-14536.082
215,-14489.63,-14516.079
216,-14495.834,-14532.911
217,-14504.895,-14539.158
218,-14530.424,-14518.25
219,-14507.729,-14539.6045
220,-14491.07,-14490.041
221,-14544.809,-14510.81
222,-14466.406,-14504.497
223,-14478.513,-14483.6
224,-14557.538,-14520.569
225,-14554.609,-14516.641
226,-14495.209,-14514.145
227,-14495.164,-14518.449
228,-14498.702,-14494.241
229,-14499.062,-14538.565
230,-14531.936,-14544.715
231,-14507.154,-14511.631
232,-14553.971,-14519.794
233,-14536.841,-14568.025
234,-14507.329,-14569.488
235,-14493.898,-14500.401
236,-14537.539,-14493.325
237,-14517.684,-14522.09
238,-14487.355,-14559.583
239,-14504.799,-14523.099
240,-14478.323,-14508.868
