,agent1,agent2
0,-5483.1616,-5617.5967
1,-5529.787,-5620.69
2,-5516.1426,-5591.0244
3,-5544.3794,-5661.542
4,-5593.9644,-5584.008
5,-5488.3975,-5578.996
6,-5536.205,-5590.966
7,-5542.6885,-5653.689
8,-5512.1562,-5596.773
9,-5505.1777,-5598.201
10,-5552.5986,-5638.3027
11,-5568.7017,-5630.2783
12,-5568.0273,-5615.302
13,-5589.171,-5597.866
14,-5550.7207,-5578.27
15,-5537.7207,-5609.9146
16,-5519.5283,-5585.0757
17,-5508.6465,-5619.716
18,-5514.1787,-5625.9165
19,-5548.6807,-5635.6055
20,-5530.4336,-5668.495
21,-5558.331,-5651.1206
22,-5567.675,-5623.8105
23,-5503.3457,-5652.885
24,-5526.879,-5601.3203
25,-5603.8115,-5666.1885
26,-5532.36,-5631.778
27,-5540.784,-5616.0664
28,-5491.29,-5580.452
29,-5517.0845,-5635.6055
30,-5566.54,-5639.919
31,-5598.7427,-5681.551
32,-5536.5337,-5599.9365
33,-5523.882,-5639.4736
34,-5563.347,-5648.8696
35,-5551.535,-5639.717
36,-5550.4497,-5687.608
37,-5488.719,-5630.1904
38,-5553.877,-5618.528
39,-5509.4663,-5605.8115
40,-5576.1055,-5647.097
41,-5562.416,-5656.1826
42,-5557.964,-5602.4375
43,-5458.641,-5581.717
44,-5536.4756,-5614.13
45,-5546.2227,-5589.317
46,-5569.1777,-5570.5117
47,-5554.215,-5612.339
48,-5546.213,-5679.0693
49,-5528.3486,-5615.856
50,-5545.37,-5671.608
51,-5523.27,-5578.2363
52,-5516.423,-5688.12
53,-5550.7017,-5551.7217
54,-5512.129,-5670.125
55,-5534.178,-5606.9053
56,-5523.5293,-5656.8564
57,-5540.7144,-5575.626
58,-5544.5254,-5608.052
59,-5608.2344,-5648.963
60,-5544.2183,-5618.0127
61,-5479.369,-5625.5547
62,-5549.0967,-5646.8066
63,-5592.8887,-5616.6377
64,-5543.2627,-5605.3174
65,-5518.8687,-5635.707
66,-5559.0635,-5603.1216
67,-5518.211,-5597.1294
68,-5553.7363,-5582.158
69,-5493.201,-5578.09
70,-5538.044,-5624.295
71,-5538.5977,-5668.1255
72,-5501.1865,-5632.5957
73,-5523.1006,-5595.6533
74,-5526.715,-5613.8105
75,-5530.632,-5571.53
76,-5546.1504,-5665.0586
77,-5551.5127,-5619.2295
78,-5557.583,-5646.8765
79,-5552.168,-5622.7207
80,-5518.325,-5683.4165
81,-5555.458,-5593.2793
82,-5545.2607,-5599.29
83,-5560.383,-5601.293
84,-5510.122,-5642.2046
85,-5545.4976,-5617.3423
86,-5493.491,-5644.161
87,-5514.633,-5632.863
88,-5548.8213,-5632.0166
89,-5533.498,-5701.966
90,-5538.5586,-5617.102
91,-5531.659,-5629.533
92,-5520.3203,-5618.574
93,-5542.4277,-5609.2163
94,-5550.9443,-5697.5996
95,-5546.3,-5583.655
96,-5508.4556,-5573.2695
97,-5529.3,-5649.2246
98,-5571.2705,-5641.536
99,-5542.199,-5661.7812
100,-5553.0576,-5645.462
101,-5536.8633,-5672.136
102,-5529.5674,-5675.7207
103,-5561.953,-5618.914
104,-5526.9453,-5681.1094
105,-5530.799,-5664.556
106,-5545.022,-5619.8467
107,-5563.373,-5595.064
108,-5540.914,-5597.7095
109,-5482.9863,-5637.0703
110,-5516.169,-5659.2056
111,-5595.6934,-5614.9785
112,-5506.0,-5666.3467
113,-5568.63,-5632.385
114,-5523.84,-5659.709
115,-5556.699,-5671.1626
116,-5534.994,-5619.576
117,-5534.4546,-5631.8706
118,-5615.963,-5552.4277
119,-5513.008,-5588.4375
120,-5484.244,-5623.207
121,-5564.2188,-5662.756
122,-5598.5815,-5609.201
123,-5543.989,-5605.4185
124,-5600.1475,-5632.1465
125,-5492.058,-5620.4766
126,-5521.8564,-5573.284
127,-5504.5947,-5560.1523
128,-5568.5444,-5678.244
129,-5496.9453,-5571.992
130,-5531.1523,-5605.8076
131,-5547.4316,-5724.336
132,-5475.4395,-5604.8555
133,-5581.886,-5668.5107
134,-5539.378,-5600.3926
135,-5560.2383,-5598.363
136,-5523.884,-5647.3623
137,-5494.1,-5636.048
138,-5586.724,-5621.647
139,-5549.9087,-5644.327
140,-5533.2686,-5637.9873
141,-5477.13,-5607.351
142,-5561.5957,-5627.964
143,-5531.8184,-5604.133
