,agent1,agent2
0,-15016.85,-15002.474
1,-14647.867,-14650.174
2,-14311.0625,-14306.519
3,-14036.773,-13976.752
4,-13764.642,-13664.774
5,-13487.712,-13434.523
6,-13326.955,-13219.658
7,-13052.85,-12947.195
8,-12890.7705,-12732.51
9,-12738.096,-12651.494
10,-12571.893,-12410.416
11,-12379.242,-12192.438
12,-12217.156,-12080.867
13,-12034.844,-11959.443
14,-11910.883,-11760.08
15,-11722.884,-11615.54
16,-11584.708,-11415.831
17,-11376.349,-11329.314
18,-11251.389,-11181.768
19,-11108.15,-11010.545
20,-11004.815,-10922.91
21,-10815.382,-10775.66
22,-10706.537,-10590.186
23,-10560.238,-10500.945
24,-10483.201,-10402.347
25,-10382.412,-10270.721
26,-10251.925,-10140.848
27,-10108.937,-10057.125
28,-10007.624,-9931.725
29,-9908.168,-9847.104
30,-9807.675,-9741.481
31,-9743.051,-9659.51
32,-9623.853,-9542.307
33,-9570.328,-9479.892
34,-9474.585,-9426.668
35,-9395.542,-9311.564
36,-9341.229,-9208.49
37,-9246.635,-9155.074
38,-9169.54,-9099.49
39,-9131.525,-9000.154
40,-9085.366,-8939.232
41,-9044.512,-8905.849
42,-8966.17,-8799.867
43,-8922.602,-8759.619
44,-8840.97,-8694.822
45,-8852.148,-8660.338
46,-8760.486,-8616.173
47,-8739.77,-8560.838
48,-8704.826,-8542.891
49,-8661.79,-8524.805
50,-8591.701,-8464.566
51,-8615.1875,-8404.388
52,-8547.678,-8418.053
53,-8526.573,-8394.449
54,-8522.058,-8380.182
55,-8476.671,-8333.983
56,-8443.042,-8320.573
57,-8397.125,-8279.711
58,-8401.758,-8239.341
59,-8376.703,-8275.5625
60,-8338.104,-8250.075
61,-8315.721,-8210.532
62,-8340.819,-8177.657
63,-8314.003,-8184.0825
64,-8293.268,-8168.628
65,-8259.933,-8141.9126
66,-8234.318,-8151.802
67,-8260.466,-8119.152
68,-8265.23,-8107.0864
69,-8224.15,-8101.147
70,-8206.609,-8106.196
71,-8221.816,-8099.5386
72,-8206.868,-8120.257
73,-8197.798,-8106.6826
74,-8179.847,-8119.87
75,-8163.5947,-8116.4062
76,-8219.786,-8106.659
77,-8183.789,-8105.1973
78,-8145.776,-8103.5947
79,-8143.7446,-8086.0684
80,-8151.34,-8109.5425
81,-8163.9243,-8106.501
82,-8147.0723,-8075.639
83,-8137.949,-8097.9404
84,-8152.5,-8118.9937
85,-8135.454,-8118.994
86,-8141.4053,-8067.2227
87,-8136.9243,-8087.8276
88,-8144.4043,-8096.873
89,-8145.426,-8120.6616
90,-8140.1436,-8109.4873
91,-8136.4824,-8098.091
92,-8105.6167,-8041.3213
93,-8121.8945,-8078.9854
94,-8087.368,-8107.8994
95,-8116.0215,-8086.9995
96,-8133.9155,-8070.838
97,-8141.1064,-8098.135
98,-8122.016,-8117.748
99,-8116.4727,-8107.338
100,-8143.3027,-8117.8374
101,-8104.8965,-8107.8667
102,-8119.6353,-8092.9497
103,-8104.599,-8113.347
104,-8143.312,-8084.7026
105,-8077.158,-8126.2153
106,-8148.175,-8110.177
107,-8094.0586,-8079.9653
108,-8090.1904,-8116.601
109,-8079.638,-8079.125
110,-8104.381,-8096.7285
111,-8101.1006,-8088.419
112,-8088.869,-8119.259
113,-8071.413,-8128.584
114,-8095.1064,-8110.038
115,-8080.9814,-8110.139
116,-8074.8857,-8117.1255
117,-8083.259,-8103.73
118,-8067.955,-8095.9946
119,-8073.615,-8078.3794
120,-8097.34,-8100.7793
121,-8089.3716,-8093.6084
122,-8099.913,-8085.1504
123,-8076.5576,-8101.489
124,-8114.609,-8114.407
125,-8080.057,-8098.4746
126,-8070.3857,-8096.9907
127,-8108.6455,-8080.1855
128,-8088.1714,-8103.884
129,-8082.198,-8096.921
130,-8040.4375,-8090.159
131,-8101.1475,-8072.1616
132,-8100.3887,-8055.0493
133,-8081.769,-8076.057
134,-8108.2695,-8084.477
135,-8069.4067,-8107.4165
136,-8063.121,-8077.1865
137,-8068.552,-8104.28
138,-8055.109,-8043.912
139,-8058.9307,-8065.33
140,-8043.2065,-8092.4688
141,-8077.2246,-8089.3335
142,-8069.552,-8058.292
143,-8071.218,-8067.0728
144,-8083.0024,-8111.834
145,-8063.9673,-8068.379
146,-8049.665,-8068.039
147,-8057.2563,-8064.6587
148,-8063.0195,-8108.3677
149,-8032.5444,-8056.76
150,-8061.087,-8065.343
151,-8057.582,-8081.0923
152,-8069.167,-8067.4463
153,-8051.5063,-8074.6357
154,-8040.819,-8060.7764
155,-8033.029,-8049.264
156,-8053.3125,-8095.4385
157,-8036.3345,-8076.4253
158,-8004.379,-8052.859
159,-8017.1816,-8055.0747
160,-8010.3037,-8039.6846
161,-8018.6357,-8035.2715
162,-8020.834,-8035.5703
163,-8010.9766,-8027.759
164,-8011.002,-8031.6606
165,-8028.0063,-8077.299
166,-8042.19,-8047.828
167,-8027.348,-8007.741
168,-8002.4355,-8033.9785
169,-8003.911,-8039.309
170,-8000.969,-8036.56
171,-7989.427,-8017.7856
172,-8017.464,-8024.6934
173,-8004.257,-8029.445
174,-7973.5693,-8016.104
175,-7992.815,-7971.6904
176,-7992.7217,-8022.8467
177,-7979.164,-8005.5566
178,-8011.354,-8013.744
179,-7955.445,-8073.9307
180,-7984.574,-7987.293
181,-8001.1187,-7995.7754
182,-7978.8994,-7988.444
183,-7993.6323,-8022.297
184,-7968.509,-8010.6426
185,-7976.714,-7979.3237
186,-7961.483,-7979.896
187,-7962.3936,-7978.1045
188,-7963.1885,-7993.135
189,-7973.5386,-7952.8
190,-7945.726,-7948.5913
191,-7957.83,-7957.4453
192,-7923.7866,-7948.6465
193,-7994.2007,-7932.9824
194,-7963.5693,-7958.9375
195,-7951.295,-7935.7344
196,-7944.926,-7897.545
197,-7935.87,-7915.683
198,-7950.5312,-7947.427
199,-7918.5522,-7900.8223
200,-7982.38,-7891.553
201,-7924.742,-7890.5723
202,-7919.407,-7922.3867
203,-7882.7285,-7908.211
204,-7895.862,-7923.441
205,-7884.861,-7890.1675
206,-7896.0986,-7882.6475
207,-7894.9014,-7853.0254
208,-7891.1836,-7888.13
209,-7896.9756,-7902.572
210,-7881.755,-7846.4287
211,-7867.4775,-7854.582
212,-7876.5825,-7861.506
213,-7882.0396,-7843.872
214,-7856.4736,-7812.0376
215,-7876.712,-7827.1543
216,-7829.7363,-7837.4985
217,-7841.414,-7808.275
218,-7859.233,-7821.857
219,-7869.333,-7805.207
220,-7818.661,-7802.5186
221,-7820.5693,-7772.333
222,-7830.8726,-7815.508
223,-7794.499,-7754.1006
224,-7819.503,-7794.297
225,-7837.8916,-7753.7485
226,-7803.0415,-7802.7656
227,-7830.893,-7773.8457
228,-7783.348,-7756.831
229,-7791.619,-7707.815
230,-7801.0303,-7745.1836
231,-7784.1494,-7713.756
232,-7810.681,-7761.02
233,-7788.9805,-7697.2266
234,-7781.7295,-7702.633
235,-7765.6914,-7686.212
236,-7786.7085,-7700.705
237,-7745.543,-7678.869
238,-7738.546,-7715.372
239,-7732.219,-7665.876
240,-7719.7715,-7643.994
241,-7696.509,-7678.9956
242,-7703.9043,-7650.997
243,-7721.59,-7652.582
244,-7724.077,-7623.4917
245,-7677.669,-7635.8613
246,-7716.554,-7631.1387
247,-7679.486,-7597.1416
248,-7670.0586,-7632.154
249,-7705.1753,-7570.1597
250,-7686.213,-7602.393
251,-7657.979,-7554.3315
252,-7634.3115,-7567.6387
253,-7657.3394,-7556.756
254,-7597.7803,-7553.169
255,-7621.715,-7524.7617
256,-7624.493,-7517.08
257,-7603.881,-7491.7305
258,-7616.3228,-7519.6445
259,-7594.3237,-7539.6377
260,-7524.849,-7460.7393
261,-7602.5854,-7469.5264
262,-7585.294,-7471.103
263,-7532.585,-7407.763
264,-7557.094,-7430.7197
265,-7557.917,-7409.782
266,-7533.3564,-7367.6704
267,-7496.537,-7375.64
268,-7515.2373,-7389.3345
269,-7488.4736,-7386.1963
270,-7482.541,-7385.0757
271,-7453.3423,-7324.2373
272,-7464.519,-7331.3745
273,-7480.9204,-7350.182
274,-7446.95,-7307.0435
275,-7448.869,-7277.1743
276,-7429.7656,-7287.54
277,-7433.157,-7256.4473
278,-7408.328,-7281.1523
279,-7397.989,-7213.6045
280,-7402.841,-7220.3027
281,-7404.2705,-7197.653
282,-7314.4155,-7161.454
283,-7401.987,-7109.9365
284,-7315.3926,-7160.41
285,-7329.671,-7109.6646
286,-7329.7324,-7068.3145
287,-7317.9297,-7053.398
288,-7264.8945,-7023.619
289,-7263.4453,-7016.075
290,-7260.223,-7000.1133
291,-7250.0156,-6976.6963
292,-7281.2793,-6908.299
293,-7235.468,-6898.407
294,-7209.41,-6920.1953
295,-7191.777,-6859.2764
296,-7187.3843,-6825.8228
297,-7138.1523,-6785.9106
298,-7140.7676,-6726.7764
299,-7140.34,-6748.1733
300,-7069.4766,-6720.3066
301,-7088.879,-6670.1064
302,-7068.942,-6613.8228
303,-7038.5493,-6612.9385
304,-7037.16,-6551.137
305,-6967.126,-6506.173
306,-6996.2275,-6493.2705
307,-6966.3643,-6464.5366
308,-6964.2188,-6386.177
309,-6912.1934,-6399.1846
310,-6879.84,-6376.467
311,-6848.505,-6366.049
312,-6826.613,-6312.9766
313,-6788.342,-6309.2646
314,-6790.787,-6319.5903
315,-6784.0464,-6266.8438
316,-6717.9565,-6253.8027
317,-6696.1875,-6255.0967
318,-6661.975,-6249.254
319,-6659.2563,-6253.1504
320,-6614.991,-6219.8887
321,-6537.2188,-6243.929
322,-6511.186,-6243.04
323,-6487.5703,-6223.114
324,-6449.8857,-6216.132
325,-6440.743,-6211.084
326,-6421.237,-6185.1104
327,-6387.0977,-6233.9404
328,-6352.5625,-6152.3345
329,-6376.8145,-6166.205
330,-6387.8203,-6149.924
331,-6343.4355,-6178.509
332,-6332.5254,-6222.342
333,-6317.333,-6176.349
334,-6338.7227,-6155.3438
335,-6310.653,-6210.503
336,-6348.6167,-6213.5586
337,-6340.918,-6173.315
338,-6329.043,-6169.5884
339,-6289.453,-6204.2886
340,-6305.8506,-6177.863
341,-6298.326,-6145.8013
342,-6267.245,-6168.139
343,-6286.837,-6180.3135
344,-6267.7134,-6186.4043
345,-6299.5156,-6176.989
346,-6284.466,-6137.692
347,-6255.3574,-6205.4043
348,-6248.3574,-6179.9697
349,-6270.8604,-6205.282
350,-6270.5723,-6210.2676
351,-6281.628,-6168.486
352,-6246.3354,-6163.0635
353,-6281.165,-6170.211
354,-6242.33,-6186.822
355,-6243.8257,-6179.1963
356,-6250.5166,-6172.369
357,-6245.6475,-6172.042
358,-6246.67,-6196.3604
359,-6300.071,-6192.9614
360,-6228.626,-6184.424
361,-6263.4014,-6217.069
362,-6279.255,-6210.217
363,-6272.391,-6218.2236
364,-6259.236,-6211.2725
365,-6253.7363,-6193.677
366,-6286.0195,-6196.7266
367,-6234.074,-6215.19
368,-6271.213,-6208.8076
369,-6260.515,-6212.7427
370,-6241.2314,-6247.5166
371,-6269.718,-6230.7734
372,-6276.333,-6218.544
373,-6273.5967,-6238.23
374,-6287.1187,-6241.0137
375,-6266.987,-6208.4
376,-6265.407,-6258.043
377,-6269.0156,-6240.7466
378,-6267.092,-6237.7227
379,-6290.3047,-6292.7783
380,-6305.879,-6245.5728
381,-6259.0493,-6247.6777
382,-6258.8037,-6282.707
383,-6315.112,-6249.737
384,-6292.776,-6275.05
385,-6309.0234,-6240.0376
386,-6282.204,-6235.1934
387,-6335.7715,-6247.867
388,-6320.8574,-6222.2183
389,-6329.3525,-6271.192
390,-6287.795,-6214.875
391,-6274.2974,-6223.0615
392,-6313.0576,-6252.5884
393,-6325.1875,-6262.834
394,-6323.6753,-6302.7754
395,-6281.1167,-6266.443
396,-6321.427,-6251.2617
397,-6333.785,-6268.826
398,-6370.6436,-6242.2856
399,-6334.481,-6252.3896
400,-6358.355,-6264.795
401,-6310.698,-6251.73
402,-6343.425,-6273.457
403,-6332.5024,-6231.408
404,-6326.5186,-6267.126
405,-6362.1494,-6245.011
406,-6340.635,-6305.5356
407,-6379.8647,-6252.993
408,-6374.835,-6220.073
409,-6352.3364,-6240.708
410,-6374.41,-6288.0107
411,-6360.945,-6284.028
412,-6363.6943,-6309.701
413,-6361.576,-6278.913
414,-6361.4834,-6303.622
415,-6383.54,-6261.4976
416,-6353.326,-6264.977
417,-6379.6533,-6306.5503
418,-6391.8145,-6281.408
419,-6385.0684,-6328.274
420,-6345.46,-6306.631
421,-6355.7524,-6273.9614
422,-6336.745,-6315.4883
423,-6368.778,-6327.033
424,-6349.549,-6275.881
425,-6350.957,-6283.3867
426,-6365.1465,-6292.161
427,-6374.7227,-6303.533
428,-6343.0166,-6322.2773
429,-6340.391,-6318.109
430,-6380.046,-6309.34
431,-6364.912,-6304.978
432,-6365.0103,-6317.0728
433,-6385.706,-6314.339
434,-6363.7363,-6306.8765
435,-6355.0986,-6321.7363
436,-6368.88,-6323.702
437,-6383.3125,-6310.3535
438,-6377.385,-6282.41
439,-6350.6973,-6291.009
440,-6383.0615,-6320.652
441,-6373.6753,-6310.5166
442,-6375.5957,-6307.7383
443,-6379.26,-6323.3096
444,-6388.5537,-6331.202
445,-6341.756,-6331.049
446,-6360.788,-6290.1143
447,-6372.899,-6310.9517
448,-6397.8154,-6334.1533
449,-6381.465,-6299.5557
450,-6388.1055,-6292.831
451,-6346.959,-6304.683
452,-6381.1406,-6345.4253
453,-6341.398,-6318.9243
454,-6365.801,-6323.8057
455,-6378.659,-6329.49
456,-6376.5293,-6308.6797
457,-6401.3315,-6354.871
458,-6358.453,-6331.389
459,-6388.452,-6329.334
460,-6415.493,-6326.683
461,-6416.5454,-6326.0664
462,-6387.83,-6301.5635
463,-6382.2705,-6355.261
464,-6408.751,-6326.624
465,-6394.797,-6317.7393
466,-6406.3228,-6312.8945
467,-6369.837,-6305.1875
468,-6383.165,-6320.842
469,-6416.2363,-6318.053
470,-6391.3516,-6349.1006
471,-6386.877,-6341.119
472,-6393.0493,-6345.7324
473,-6384.7593,-6350.3867
474,-6388.3735,-6309.78
475,-6376.003,-6335.217
476,-6386.8057,-6326.9443
477,-6368.405,-6337.819
478,-6373.494,-6354.287
479,-6371.5645,-6336.329
480,-6387.1167,-6313.697
481,-6401.1426,-6334.994
482,-6394.257,-6320.2446
483,-6384.72,-6340.8516
484,-6373.9746,-6333.0527
485,-6388.437,-6344.6064
486,-6373.765,-6379.2715
487,-6393.993,-6361.2114
488,-6413.59,-6334.033
489,-6366.073,-6306.3623
490,-6383.2803,-6334.012
491,-6393.9043,-6335.4463
492,-6377.0996,-6333.426
493,-6378.507,-6307.9346
494,-6384.4067,-6348.201
495,-6414.6123,-6334.54
496,-6427.164,-6333.0967
497,-6447.755,-6337.1934
498,-6430.9717,-6335.879
499,-6417.679,-6364.6914
500,-6427.9814,-6366.8896
501,-6411.8823,-6356.061
502,-6402.3325,-6352.766
503,-6419.4863,-6355.182
