,agent1,agent2
0,-12631.411,-12891.209
1,-12584.617,-12859.774
2,-12596.275,-12821.391
3,-12547.429,-12738.851
4,-12531.092,-12691.235
5,-12482.514,-12708.653
6,-12428.605,-12685.805
7,-12417.561,-12639.504
8,-12351.781,-12563.633
9,-12365.24,-12590.597
10,-12339.359,-12550.124
11,-12316.52,-12516.121
12,-12304.766,-12424.062
13,-12292.603,-12453.219
14,-12248.039,-12418.096
15,-12247.754,-12381.5
16,-12188.588,-12326.679
17,-12218.748,-12302.466
18,-12194.49,-12284.248
19,-12159.619,-12300.258
20,-12121.463,-12168.77
21,-12065.31,-12195.754
22,-12094.078,-12165.659
23,-12086.683,-12132.198
24,-12024.967,-12090.08
25,-12026.006,-12053.033
26,-12021.424,-12057.455
27,-11961.24,-12039.192
28,-11945.78,-11999.576
29,-11947.404,-11983.205
30,-11879.072,-11982.766
31,-11905.3,-11978.532
32,-11884.006,-11848.641
33,-11892.375,-11914.162
34,-11862.934,-11879.031
35,-11875.808,-11797.925
36,-11799.731,-11791.994
37,-11846.4,-11768.935
38,-11826.395,-11757.797
39,-11757.881,-11735.42
40,-11763.598,-11688.912
41,-11716.975,-11666.02
42,-11741.147,-11646.357
43,-11729.408,-11645.935
44,-11718.955,-11643.586
45,-11691.286,-11596.125
46,-11685.051,-11540.209
47,-11667.52,-11542.617
48,-11619.399,-11560.0625
49,-11632.773,-11516.562
50,-11587.8125,-11483.166
51,-11626.323,-11486.523
52,-11612.355,-11500.486
53,-11548.816,-11444.276
54,-11585.808,-11426.022
55,-11509.339,-11399.873
56,-11521.252,-11388.764
57,-11505.119,-11336.741
58,-11486.328,-11371.853
59,-11491.377,-11309.947
60,-11495.61,-11299.396
61,-11432.388,-11279.897
62,-11472.744,-11278.497
63,-11417.992,-11250.496
64,-11417.051,-11259.707
65,-11414.047,-11216.104
66,-11402.842,-11279.873
67,-11393.162,-11197.186
68,-11399.9795,-11183.77
69,-11371.104,-11167.336
70,-11378.461,-11188.85
71,-11351.842,-11122.932
72,-11349.643,-11132.365
73,-11311.908,-11122.191
74,-11296.2,-11102.201
75,-11278.318,-11097.625
76,-11299.08,-11084.333
77,-11250.895,-11087.097
