,agent1,agent2
0,-61491.71,-71358.54
1,-61696.613,-70324.75
2,-60626.02,-72013.91
3,-60956.258,-69914.49
4,-60253.477,-72037.266
5,-61596.44,-71564.0
6,-61265.203,-71411.805
7,-59051.723,-72235.25
8,-61155.27,-70899.44
9,-61758.125,-69805.03
10,-61267.27,-73043.805
11,-61103.844,-71064.0
12,-60512.21,-70046.94
13,-60886.312,-70518.55
14,-60864.195,-71565.39
15,-60425.258,-74675.336
16,-61054.695,-70119.43
17,-61464.695,-68448.46
18,-60626.598,-69390.59
19,-61377.92,-66660.25
20,-59229.79,-69824.25
21,-60184.754,-70358.31
22,-60410.062,-72446.234
23,-59494.785,-73420.09
24,-60559.688,-71394.72
25,-60479.703,-71518.77
26,-60047.94,-68711.31
27,-60854.395,-69433.836
28,-60782.49,-71399.81
29,-60883.527,-71731.17
30,-59316.344,-68622.0
31,-59450.414,-70392.2
32,-59130.75,-66968.2
33,-58833.445,-71385.47
34,-58539.027,-66272.14
35,-60454.36,-71164.836
36,-60159.36,-68732.06
37,-60876.656,-66872.45
38,-60011.184,-69408.06
39,-61226.125,-74515.41
40,-59322.574,-66837.8
41,-61054.71,-67075.69
42,-58637.53,-69392.31
43,-60448.977,-68432.9
44,-60400.633,-69496.125
45,-59551.33,-69183.875
46,-60249.93,-69639.06
47,-59600.93,-72122.81
48,-60828.33,-66088.45
49,-59162.406,-67105.97
50,-60183.973,-68648.72
51,-59644.496,-68450.16
52,-61476.523,-67172.5
53,-60273.273,-68580.86
54,-59651.457,-67377.92
55,-59779.52,-69063.87
56,-59475.176,-67942.25
57,-59063.742,-65739.62
58,-58875.438,-67559.266
59,-59206.17,-68728.81
60,-58946.89,-67432.92
61,-59734.918,-65648.516
62,-59253.062,-67804.43
63,-58735.805,-66078.055
64,-59158.13,-66038.46
65,-59961.77,-67054.945
66,-59693.344,-66721.73
67,-60008.836,-67996.81
68,-58730.03,-65433.438
69,-59206.43,-61929.344
70,-59098.598,-67043.13
71,-60728.688,-66058.31
72,-56854.117,-62370.734
73,-57959.062,-65878.61
74,-59061.86,-66097.82
75,-60016.03,-63320.023
76,-60660.41,-64856.67
77,-59500.617,-63784.688
78,-58858.195,-66832.54
79,-58261.69,-67157.66
80,-57217.047,-62563.098
81,-58416.344,-63842.734
82,-59123.633,-65701.63
83,-57248.492,-67713.805
84,-60202.367,-64035.83
85,-58081.387,-61744.297
86,-59428.242,-64217.35
87,-59781.664,-66677.016
88,-59126.47,-64701.656
89,-57229.023,-68504.91
90,-59779.414,-65870.55
91,-59366.406,-62426.64
92,-59240.34,-63954.06
93,-57541.57,-64493.547
94,-58149.535,-64452.75
95,-59552.023,-65596.59
96,-57654.844,-66797.34
97,-59789.055,-65521.242
98,-56583.746,-63209.64
99,-58110.402,-62113.32
100,-58880.27,-62052.36
101,-59818.105,-66427.336
102,-57901.88,-60678.016
103,-58822.875,-62894.195
104,-58528.04,-59432.69
105,-57671.32,-61944.93
106,-58358.945,-63568.617
107,-59455.36,-64405.64
108,-58048.875,-61527.594
109,-59097.137,-63764.633
110,-58318.316,-62838.53
111,-60162.62,-61959.82
112,-58295.516,-61141.793
113,-59747.258,-61577.652
114,-57293.566,-61654.246
115,-58278.703,-62807.406
116,-59384.395,-62145.82
117,-57052.85,-64175.023
118,-57760.07,-62588.027
119,-59118.2,-60477.594
120,-57924.234,-62906.617
121,-56726.07,-61013.426
122,-59284.582,-63304.766
123,-58582.914,-62459.414
124,-58829.367,-62827.094
125,-57318.22,-61968.87
126,-58602.062,-60293.492
127,-57368.07,-62901.39
128,-56304.688,-64324.273
129,-57169.42,-60921.96
130,-57035.89,-61031.04
131,-58507.42,-60977.312
132,-58613.246,-59689.35
133,-55957.168,-60090.26
134,-56687.867,-59858.43
135,-58009.062,-59501.254
136,-57784.297,-60114.633
137,-60816.105,-59685.914
138,-58431.08,-59927.973
139,-57902.72,-57900.36
140,-58057.305,-60863.18
141,-58585.855,-61599.914
142,-57063.17,-62533.273
143,-57117.734,-62011.223
144,-58402.023,-60811.113
145,-56249.73,-60127.42
146,-57597.78,-58806.945
147,-58275.07,-60601.97
148,-56189.266,-59807.688
149,-58076.78,-59949.188
150,-56090.42,-58861.36
151,-58401.05,-58938.004
152,-57394.062,-61387.83
153,-59153.14,-59852.426
154,-58331.56,-58351.062
155,-57854.883,-59229.465
156,-57939.773,-58255.97
157,-56641.402,-59756.14
158,-56269.0,-57736.71
159,-57186.61,-59591.906
160,-58781.52,-58535.844
161,-58511.508,-58983.184
162,-56537.83,-58125.566
163,-57344.484,-58903.29
164,-57585.83,-58037.797
165,-57266.14,-58477.33
166,-57139.57,-59406.945
167,-58457.594,-57889.03
168,-57085.137,-59498.16
169,-56118.523,-57032.57
170,-57162.113,-57472.08
171,-56760.387,-56188.453
172,-57146.29,-58137.594
173,-57813.46,-58714.875
174,-56886.926,-58737.25
175,-57029.63,-61154.984
176,-57661.977,-61177.83
177,-58395.586,-57263.234
178,-57219.535,-57725.24
179,-59180.82,-58704.195
180,-57427.273,-59414.168
181,-56717.805,-57710.773
182,-57477.504,-59382.227
183,-56171.586,-57913.258
184,-57798.21,-57069.516
185,-57862.723,-58080.773
186,-57367.67,-58731.867
187,-56946.066,-57158.68
188,-56479.566,-59541.688
189,-56885.992,-58079.18
