,agent1,agent2
0,-15013.084,-15659.229
1,-14674.262,-15241.58
2,-14454.795,-14880.575
3,-14199.296,-14537.719
4,-13988.76,-14253.855
5,-13817.809,-14024.007
6,-13598.933,-13745.365
7,-13398.676,-13571.145
8,-13300.654,-13361.11
9,-13105.266,-13159.206
10,-12955.304,-12976.826
11,-12776.527,-12819.609
12,-12659.525,-12705.299
13,-12509.177,-12515.426
14,-12297.093,-12323.862
15,-12147.438,-12158.787
16,-12002.035,-12047.699
17,-11839.472,-11883.606
18,-11640.951,-11735.844
19,-11483.764,-11575.208
20,-11393.271,-11476.109
21,-11178.951,-11324.875
22,-11022.731,-11204.821
23,-10903.01,-11046.3125
24,-10756.961,-10916.206
25,-10579.441,-10814.877
26,-10457.134,-10709.623
27,-10387.627,-10565.27
28,-10231.5,-10480.999
29,-10086.0,-10350.39
30,-9979.571,-10282.271
31,-9861.234,-10168.211
32,-9739.45,-10047.433
33,-9688.635,-9938.105
34,-9573.969,-9874.494
35,-9438.924,-9776.169
36,-9363.781,-9667.473
37,-9309.979,-9613.14
38,-9198.926,-9538.285
39,-9143.666,-9438.23
40,-9043.773,-9342.838
41,-8984.569,-9267.131
42,-8908.326,-9202.014
43,-8881.066,-9105.643
44,-8822.017,-9087.934
45,-8772.95,-8967.931
46,-8674.756,-8936.986
47,-8665.304,-8917.032
48,-8610.154,-8813.448
49,-8591.026,-8770.578
50,-8581.117,-8688.525
51,-8543.777,-8684.835
52,-8475.648,-8626.613
53,-8494.703,-8599.326
54,-8436.861,-8576.8955
55,-8457.824,-8521.946
56,-8428.7705,-8479.255
57,-8386.034,-8474.527
58,-8396.559,-8471.506
59,-8377.764,-8441.5205
60,-8373.866,-8400.973
61,-8321.115,-8396.71
62,-8315.259,-8372.026
63,-8337.561,-8359.229
64,-8354.306,-8338.074
65,-8303.449,-8380.855
66,-8303.496,-8329.469
67,-8271.682,-8304.537
68,-8286.912,-8297.693
69,-8288.031,-8292.834
70,-8264.957,-8269.249
71,-8307.381,-8249.562
72,-8291.807,-8273.49
73,-8279.594,-8230.954
74,-8285.354,-8223.217
75,-8287.304,-8281.898
76,-8292.346,-8203.059
77,-8287.379,-8227.977
78,-8254.195,-8215.208
79,-8277.388,-8202.513
80,-8291.615,-8237.384
81,-8294.909,-8218.19
82,-8264.009,-8168.2656
83,-8274.989,-8182.909
84,-8265.109,-8184.8945
85,-8268.413,-8180.001
86,-8259.323,-8167.108
87,-8261.596,-8181.294
88,-8271.467,-8174.5186
89,-8255.175,-8171.6045
90,-8251.16,-8145.196
91,-8255.348,-8150.7227
92,-8255.072,-8175.402
93,-8267.17,-8161.214
94,-8274.57,-8165.023
95,-8218.242,-8137.3037
96,-8228.767,-8141.408
97,-8254.41,-8188.89
98,-8258.452,-8173.7427
99,-8262.568,-8163.3994
100,-8249.037,-8129.1694
101,-8226.415,-8141.7334
102,-8197.669,-8142.1396
103,-8247.289,-8144.6455
104,-8269.26,-8144.8604
105,-8254.747,-8149.9727
106,-8218.093,-8129.1396
107,-8260.507,-8155.294
108,-8244.342,-8124.129
109,-8220.6,-8117.1143
110,-8215.328,-8147.4644
111,-8239.525,-8127.3438
112,-8263.941,-8115.221
113,-8240.533,-8126.9053
114,-8228.1,-8156.3555
115,-8221.217,-8165.2627
116,-8254.2295,-8116.6357
117,-8203.897,-8111.8286
118,-8218.085,-8127.8706
119,-8212.376,-8120.7417
120,-8200.897,-8121.88
121,-8209.178,-8117.7197
122,-8206.766,-8149.918
123,-8239.768,-8146.147
124,-8208.332,-8121.1914
125,-8212.886,-8131.1646
126,-8208.845,-8091.579
127,-8197.845,-8129.4297
128,-8184.5635,-8111.6987
129,-8208.509,-8125.133
130,-8179.4194,-8101.5254
131,-8181.5747,-8087.6953
132,-8176.543,-8132.039
133,-8172.46,-8122.9067
134,-8166.9717,-8102.9463
135,-8193.613,-8106.879
136,-8186.474,-8079.252
137,-8202.028,-8105.07
138,-8199.82,-8113.6357
139,-8193.739,-8089.4746
140,-8212.4375,-8094.383
141,-8157.3867,-8132.427
142,-8172.8213,-8114.776
143,-8213.576,-8083.9014
144,-8170.1665,-8107.1045
145,-8184.7603,-8097.747
146,-8173.0273,-8086.374
147,-8160.674,-8116.1133
148,-8169.4766,-8070.8203
149,-8158.176,-8088.81
150,-8167.63,-8132.7725
151,-8170.3545,-8071.6484
152,-8118.247,-8093.1597
153,-8144.6724,-8089.3066
154,-8158.737,-8044.671
155,-8132.4136,-8089.4224
156,-8138.6104,-8079.4766
157,-8136.294,-8084.6436
158,-8138.1426,-8061.205
159,-8107.1504,-8077.436
160,-8095.498,-8068.491
161,-8120.6973,-8080.4062
162,-8140.76,-8059.2275
163,-8141.081,-8079.4756
164,-8109.666,-8093.615
165,-8158.6123,-8053.2607
166,-8114.99,-8058.7676
167,-8140.3066,-8018.749
168,-8113.7295,-8005.423
169,-8103.088,-8041.5654
170,-8086.785,-8055.295
171,-8084.835,-8025.8296
172,-8086.6406,-8018.796
173,-8123.213,-8050.749
174,-8100.4336,-8041.702
175,-8096.8057,-8029.0713
176,-8070.218,-8008.733
177,-8098.09,-8035.8174
178,-8095.4033,-8039.6147
179,-8083.666,-7998.9883
180,-8075.6655,-8015.331
181,-8070.71,-7986.801
182,-8068.166,-8023.8604
183,-8064.8193,-7991.398
184,-8095.9175,-8020.975
185,-8042.033,-8030.7007
186,-8053.923,-7991.631
187,-8036.9365,-7993.719
188,-8078.011,-7998.58
189,-8045.9863,-7966.6406
190,-8022.7637,-7987.0254
191,-8036.168,-8013.755
192,-8014.1,-7982.377
193,-7982.3584,-7937.206
194,-8026.7393,-7985.502
195,-8011.446,-7994.1855
196,-8003.322,-7969.8447
197,-7976.489,-7949.992
198,-7977.0005,-7971.385
199,-7967.616,-7926.435
200,-8027.079,-7922.0234
201,-7953.407,-7940.1343
202,-8000.776,-7945.2646
203,-7972.4556,-7932.7207
204,-7975.4077,-7941.6904
205,-7956.2695,-7941.0625
206,-7969.3345,-7918.4316
207,-7929.515,-7937.1426
208,-7949.157,-7901.1504
209,-7960.6973,-7943.161
210,-7980.2476,-7921.458
211,-7921.195,-7896.3647
212,-7947.004,-7915.758
213,-7922.105,-7872.9004
214,-7913.01,-7899.663
215,-7940.164,-7900.9053
216,-7874.93,-7898.892
217,-7920.06,-7888.455
218,-7921.1807,-7886.801
219,-7895.8936,-7874.5376
220,-7903.6733,-7881.168
221,-7891.0083,-7872.572
222,-7859.9004,-7878.1846
223,-7861.9395,-7839.699
224,-7823.71,-7878.707
225,-7849.135,-7836.95
226,-7841.9756,-7865.5713
227,-7852.165,-7820.424
228,-7846.3843,-7803.681
229,-7849.2295,-7839.627
230,-7839.6133,-7806.617
231,-7843.857,-7808.5957
232,-7822.732,-7794.719
233,-7845.613,-7801.587
234,-7792.9976,-7798.3804
235,-7796.378,-7780.9434
236,-7785.5625,-7798.6753
237,-7797.884,-7801.9097
238,-7743.2573,-7773.99
239,-7729.7705,-7767.7305
240,-7740.987,-7765.708
241,-7741.283,-7722.6436
242,-7750.7812,-7734.3467
243,-7725.4746,-7745.4233
244,-7716.701,-7748.4697
245,-7678.7324,-7752.167
246,-7701.6416,-7713.965
247,-7713.825,-7680.666
248,-7670.984,-7706.6235
249,-7682.9404,-7679.6704
250,-7651.2715,-7669.8706
251,-7670.481,-7643.2427
252,-7597.3477,-7669.541
253,-7595.0405,-7685.08
254,-7609.831,-7647.674
255,-7589.714,-7613.544
256,-7595.5166,-7660.369
257,-7588.4956,-7606.667
258,-7575.883,-7618.919
259,-7528.62,-7604.6235
260,-7547.8203,-7567.7124
261,-7498.04,-7573.6904
262,-7515.854,-7585.159
263,-7485.7876,-7542.2764
264,-7470.27,-7588.1396
265,-7477.86,-7569.1104
266,-7457.615,-7538.8765
267,-7455.2256,-7532.7188
268,-7456.368,-7498.883
269,-7434.7773,-7491.9355
270,-7397.2104,-7480.9756
271,-7374.7705,-7467.365
272,-7372.7637,-7443.158
273,-7358.502,-7412.579
274,-7298.794,-7430.687
275,-7333.175,-7428.331
276,-7304.3765,-7442.3564
277,-7271.533,-7389.533
278,-7220.245,-7355.9336
279,-7231.305,-7356.422
280,-7221.0093,-7369.033
281,-7196.624,-7325.642
282,-7165.919,-7323.456
283,-7162.1855,-7307.6797
284,-7128.74,-7292.086
285,-7112.4014,-7294.538
286,-7065.397,-7273.377
287,-7061.351,-7263.708
288,-7019.562,-7215.544
289,-6983.533,-7215.509
290,-6946.1475,-7219.3516
291,-6918.5854,-7203.1577
292,-6864.2715,-7129.875
