,agent1,agent2
0,-12407.492,-13104.534
1,-12459.72,-13072.311
2,-12494.785,-13114.443
3,-12502.423,-13067.423
4,-12464.326,-13062.935
5,-12445.608,-13063.777
6,-12441.617,-13079.039
7,-12435.359,-13018.625
8,-12439.162,-13013.4
9,-12467.1455,-12994.535
10,-12422.544,-13028.911
11,-12384.751,-13027.339
12,-12357.335,-12993.76
13,-12355.98,-12968.004
14,-12353.289,-12969.042
15,-12377.679,-12977.742
16,-12300.927,-12931.799
17,-12348.083,-12950.194
18,-12339.48,-12929.3125
19,-12327.938,-12966.17
20,-12330.41,-12906.661
21,-12306.246,-12957.271
22,-12338.279,-12926.56
23,-12290.043,-12927.358
24,-12287.812,-12892.151
25,-12253.234,-12887.502
26,-12293.219,-12914.637
27,-12265.792,-12894.6455
28,-12283.85,-12865.847
29,-12226.688,-12817.365
30,-12282.793,-12865.349
31,-12301.969,-12821.998
32,-12257.824,-12859.962
33,-12228.062,-12792.391
34,-12258.383,-12846.013
35,-12233.576,-12845.379
36,-12193.031,-12767.1
37,-12174.084,-12813.016
38,-12220.419,-12783.321
39,-12207.326,-12812.603
40,-12163.514,-12778.915
41,-12195.02,-12725.594
42,-12175.488,-12754.444
43,-12145.347,-12772.874
44,-12122.627,-12738.654
45,-12152.473,-12716.482
46,-12158.206,-12696.808
47,-12091.597,-12729.016
48,-12134.792,-12685.941
49,-12099.024,-12689.914
50,-12159.104,-12622.26
51,-12167.045,-12663.199
52,-12074.941,-12672.789
53,-12078.809,-12681.609
54,-12073.234,-12664.268
55,-12088.136,-12697.084
56,-12012.883,-12656.149
57,-12026.242,-12616.996
58,-12044.777,-12639.656
59,-12051.422,-12662.893
60,-11978.232,-12600.422
61,-12023.697,-12634.213
62,-12042.451,-12628.4
63,-12019.807,-12594.509
64,-12029.184,-12554.937
65,-11970.916,-12595.492
66,-12033.061,-12614.712
67,-12014.365,-12561.217
68,-11972.587,-12534.458
69,-11966.814,-12582.752
70,-11981.443,-12544.848
71,-11959.369,-12544.704
72,-11939.362,-12479.071
73,-11933.168,-12538.629
74,-11929.172,-12555.525
75,-11972.007,-12557.943
76,-11953.68,-12471.469
77,-11921.486,-12506.866
78,-11949.058,-12481.408
79,-11879.669,-12430.789
80,-11879.491,-12467.551
81,-11905.915,-12479.412
82,-11915.842,-12437.787
83,-11910.4795,-12467.633
84,-11854.983,-12445.956
85,-11892.199,-12447.727
86,-11889.547,-12421.418
87,-11932.513,-12435.241
88,-11850.588,-12418.852
89,-11840.39,-12411.896
90,-11848.009,-12398.587
91,-11884.771,-12389.81
92,-11862.127,-12410.75
93,-11825.181,-12388.576
94,-11861.133,-12363.493
95,-11881.943,-12402.666
96,-11792.166,-12380.662
97,-11837.854,-12339.677
98,-11806.336,-12323.141
99,-11853.207,-12343.48
100,-11799.424,-12281.035
101,-11801.552,-12317.896
102,-11823.236,-12339.932
103,-11814.302,-12318.088
