,agent1,agent2
0,-69.31137771052693,-66.67516946563046
1,-17.224652345420665,-149.7018196442762
2,-88.13644468379084,-27.51836289213323
3,-41.796628727185,-102.10880488257862
4,-80.87850382367347,-61.727103681103564
5,-81.87964322813593,-43.85477005080092
6,-57.1556907220372,-82.37768576332068
7,-78.2524439116819,-57.482954254718486
8,-54.920141685077866,-100.62969643722046
9,-52.370208149332115,-85.39005950719667
10,-21.488013680597756,-85.41203742212501
11,-45.16122020835284,-76.89769648819112
12,-56.92112475031922,-61.759400801798485
13,-63.72231115604049,-74.43792370045927
14,-64.07575210555065,-58.9247569461
15,-61.640188455904735,-75.83440584851252
16,-78.21643944458916,-30.338116329646546
17,-45.74774475027491,-97.67489050312433
18,-55.087703858686844,-53.40177307782051
19,-26.48395286812614,-138.67869919805133
20,-49.25544134973492,-85.01750463638805
21,-49.60165872648698,-73.38006806273654
22,-37.34508554260057,-87.96876069528523
23,-62.81164495362839,-84.42276750238052
24,-53.623933978817334,-94.72111704613764
25,-87.15748857166378,-37.7976400730501
26,-93.79318629832996,-36.38499031369311
27,-3.6007865865042277,-160.86638836092385
28,-61.73314552251867,-51.8777443521493
29,-91.86265258445692,-43.11788858050244
30,-74.68856181852284,-44.650736808794726
31,-62.97743539904629,-66.12507859278674
32,-81.99326083730014,-49.89441682310661
33,-95.10397658267219,-32.941441927221184
34,-104.26954201875859,-29.77083817719538
35,-71.28099472581117,-39.10170890483267
36,-55.917737265362405,-51.329894284113344
37,-49.81998994125991,-87.86823282482543
38,-85.39297972642177,-31.160049297221995
39,-52.22336465763932,-63.95211908723105
40,-91.67508132073267,-39.848381658611686
41,-91.47432483836258,-11.443021579710745
42,-87.12376918376886,-30.93608231767858
43,-65.20608704381837,-68.8794386172799
44,-40.96160893674377,-83.10920838677261
45,-64.71299280452585,-55.90174107867719
46,-47.841051358534095,-79.14337363705731
47,-61.39884745930446,-63.28230044876534
48,-85.36108465908035,-25.50054008620827
49,-69.94614213919954,-43.58334943739636
50,-60.40343010440287,-67.53571740573497
51,-79.25002760908097,-58.08928116218206
52,-97.3000758261158,-29.381446580414362
53,-48.15647375356286,-55.814710197133266
54,-49.274512152409145,-80.16297287745601
55,-77.4978148592038,-46.42773227830597
56,-55.26824517629326,-54.74026264433978
57,-67.37566548599666,-71.7502466018083
58,-81.11943301904596,-29.449741831806143
59,-102.6044842514541,-25.45134015472031
60,-65.56731096434834,-54.5793531236438
61,-50.575598163674485,-116.08998821889409
62,-11.962906375548066,-100.59639956545604
63,-45.95906041908087,-89.55999818796576
64,-100.18877049144152,1.2955763092538808
65,-64.91835112013983,-72.9641210548127
66,-68.56901429616434,-66.8702820061755
67,-72.17042946627451,-65.50197598131393
68,-62.80662241493021,-69.54052703241496
69,-42.00904351326974,-95.92841000151195
70,-74.36122663082058,-59.07453612368157
71,-83.64703770384111,-62.26905628272051
72,-76.59836911536068,-58.447502512775614
73,-3.904342176459508,-122.72931350914787
74,-48.762049078398675,-84.2451566329919
75,-89.85015046161796,-38.50969098501989
76,-20.69121762733394,-134.5739530080591
77,-38.82361101023986,-100.33765041494746
