,agent1,agent2
0,-12754.85,-12886.176
1,-12791.739,-12904.613
2,-12757.688,-12883.467
3,-12789.801,-12939.914
4,-12579.992,-12865.156
5,-12600.287,-12836.608
6,-12604.356,-12863.446
7,-12611.318,-12874.838
8,-12440.076,-12805.555
9,-12453.757,-12817.708
10,-12456.624,-12848.041
11,-12439.915,-12780.026
12,-12298.359,-12794.682
13,-12273.703,-12777.238
14,-12293.1455,-12764.612
15,-12298.902,-12789.039
16,-12204.105,-12771.502
17,-12169.883,-12784.072
18,-12129.515,-12788.269
19,-12175.287,-12751.413
20,-12038.73,-12688.488
21,-11986.867,-12686.559
22,-11998.649,-12716.484
23,-12026.754,-12720.333
24,-11898.1875,-12653.98
25,-11927.564,-12671.6
26,-11923.251,-12673.181
27,-11925.262,-12707.758
28,-11793.317,-12594.669
29,-11779.4,-12663.072
30,-11811.472,-12586.275
31,-11761.067,-12610.041
32,-11730.308,-12645.293
33,-11735.117,-12591.002
34,-11692.46,-12557.738
35,-11695.912,-12595.503
36,-11583.325,-12566.593
37,-11559.277,-12564.187
38,-11593.666,-12596.02
39,-11589.018,-12541.533
40,-11479.91,-12506.762
41,-11461.488,-12509.868
42,-11483.174,-12524.206
43,-11484.65,-12537.977
44,-11376.35,-12541.084
45,-11419.781,-12511.0205
46,-11370.463,-12479.454
47,-11417.559,-12479.781
48,-11294.432,-12458.566
49,-11329.612,-12470.495
50,-11313.418,-12450.0
51,-11340.609,-12465.46
52,-11208.825,-12412.117
53,-11189.461,-12412.503
54,-11221.182,-12397.588
55,-11212.68,-12424.646
56,-11125.416,-12390.559
57,-11122.791,-12418.523
58,-11127.827,-12385.938
59,-11114.25,-12364.275
60,-11089.648,-12347.031
61,-11042.168,-12316.193
62,-11073.079,-12304.238
63,-11074.805,-12319.375
64,-11003.134,-12345.987
65,-11005.988,-12349.5
66,-10994.082,-12320.865
67,-11005.957,-12313.707
68,-10931.135,-12275.256
69,-10914.754,-12301.784
70,-10892.252,-12302.605
71,-10921.531,-12289.474
72,-10817.174,-12269.404
73,-10871.787,-12265.017
74,-10832.729,-12282.905
75,-10851.208,-12241.596
76,-10787.029,-12208.432
77,-10795.305,-12228.578
78,-10781.273,-12223.929
79,-10798.025,-12213.889
80,-10688.808,-12203.183
81,-10740.693,-12227.25
82,-10727.053,-12232.301
83,-10684.265,-12177.154
84,-10648.168,-12140.354
85,-10697.244,-12140.236
86,-10657.132,-12170.107
87,-10631.871,-12154.032
88,-10589.24,-12167.039
89,-10594.135,-12111.441
90,-10553.992,-12175.172
91,-10563.786,-12116.007
92,-10525.406,-12111.539
93,-10516.448,-12104.531
94,-10497.417,-12108.412
95,-10520.18,-12099.867
96,-10451.72,-12056.906
97,-10458.499,-12078.689
98,-10436.305,-12040.117
99,-10472.406,-12090.937
100,-10411.67,-12021.811
101,-10365.791,-12080.087
102,-10410.594,-12007.89
103,-10392.816,-12033.365
104,-10288.731,-12016.399
105,-10354.441,-12019.139
106,-10311.53,-12031.624
107,-10353.419,-12022.581
108,-10290.225,-12024.834
109,-10276.409,-11981.441
110,-10253.621,-11957.723
111,-10259.037,-11961.889
112,-10189.494,-11979.058
113,-10204.641,-11955.1455
114,-10212.432,-11973.256
115,-10210.686,-11954.838
116,-10145.829,-11939.709
117,-10157.662,-11931.032
118,-10121.442,-11949.365
119,-10133.631,-11912.8
120,-10089.439,-11882.891
121,-10076.301,-11932.301
122,-10068.864,-11917.352
123,-10062.746,-11923.105
124,-9991.427,-11894.822
125,-10035.922,-11874.647
126,-10020.8955,-11891.553
127,-10028.487,-11880.361
128,-9927.0625,-11868.098
129,-9947.142,-11853.381
130,-9985.447,-11860.576
131,-9960.967,-11845.516
132,-9908.514,-11798.486
133,-9851.06,-11779.203
134,-9894.268,-11826.076
135,-9882.764,-11809.169
136,-9821.067,-11793.765
137,-9837.889,-11765.039
138,-9828.234,-11809.293
139,-9807.161,-11747.258
140,-9697.43,-11762.662
141,-9734.645,-11744.6875
142,-9765.976,-11744.371
143,-9743.539,-11783.072
144,-9698.406,-11749.854
145,-9686.434,-11731.223
146,-9712.545,-11748.465
147,-9683.182,-11738.925
148,-9648.795,-11746.56
149,-9622.676,-11701.264
150,-9618.342,-11782.249
151,-9604.64,-11680.399
152,-9575.765,-11692.441
153,-9567.415,-11666.182
154,-9564.703,-11688.639
155,-9541.884,-11684.719
156,-9478.262,-11698.161
157,-9460.055,-11632.796
158,-9510.674,-11703.654
159,-9482.713,-11635.609
160,-9402.773,-11636.912
161,-9452.607,-11630.051
162,-9410.281,-11625.753
163,-9406.082,-11651.616
164,-9383.627,-11609.425
165,-9348.472,-11643.999
166,-9362.824,-11614.377
167,-9362.255,-11633.758
168,-9342.609,-11609.719
169,-9284.027,-11594.304
170,-9292.159,-11604.512
171,-9330.258,-11570.777
172,-9236.644,-11596.076
173,-9229.269,-11562.442
174,-9225.351,-11594.023
175,-9257.279,-11583.094
176,-9186.515,-11545.742
177,-9182.683,-11551.123
178,-9198.262,-11565.209
179,-9185.525,-11585.469
180,-9119.725,-11536.582
181,-9115.796,-11543.049
182,-9119.334,-11545.436
183,-9107.9,-11504.809
184,-9075.272,-11501.889
185,-9052.341,-11496.684
186,-9079.053,-11501.081
187,-9055.338,-11501.092
188,-9026.119,-11465.252
189,-8988.268,-11482.463
190,-9013.623,-11471.11
191,-9011.396,-11482.476
192,-8974.691,-11469.971
193,-8963.533,-11431.693
194,-8936.031,-11432.092
195,-8954.917,-11470.604
196,-8930.744,-11459.749
197,-8920.138,-11458.199
198,-8918.537,-11418.933
199,-8923.528,-11418.686
200,-8851.054,-11428.961
201,-8873.693,-11413.984
202,-8881.941,-11439.61
203,-8829.559,-11430.46
204,-8808.201,-11360.557
205,-8829.389,-11391.918
206,-8823.95,-11408.476
207,-8853.875,-11407.557
208,-8773.966,-11397.468
209,-8798.067,-11342.612
210,-8784.148,-11359.774
211,-8782.164,-11349.945
212,-8753.547,-11374.086
213,-8743.76,-11334.399
214,-8720.465,-11356.406
215,-8755.02,-11348.785
216,-8690.988,-11324.267
217,-8698.225,-11321.84
218,-8682.438,-11330.855
219,-8701.985,-11326.207
220,-8651.027,-11313.757
221,-8617.25,-11332.432
222,-8701.828,-11281.525
223,-8656.811,-11317.846
224,-8646.025,-11317.718
225,-8631.88,-11291.82
226,-8664.422,-11332.428
227,-8609.238,-11307.681
228,-8586.406,-11280.527
229,-8569.362,-11269.088
230,-8556.374,-11298.6045
231,-8609.045,-11215.7
232,-8520.558,-11237.748
233,-8536.021,-11236.149
234,-8530.004,-11267.33
235,-8543.758,-11216.502
236,-8513.555,-11213.333
237,-8496.535,-11201.34
238,-8529.938,-11236.008
239,-8477.479,-11234.703
240,-8493.393,-11186.346
241,-8471.316,-11184.591
242,-8492.506,-11184.645
243,-8468.126,-11203.41
244,-8471.095,-11191.154
245,-8452.658,-11167.26
246,-8439.579,-11225.338
247,-8443.292,-11210.955
248,-8428.207,-11165.278
249,-8391.926,-11179.004
250,-8430.31,-11140.245
251,-8374.703,-11180.213
252,-8408.239,-11136.961
253,-8376.711,-11167.658
254,-8354.736,-11135.889
