,agent1,agent2
0,-13279.287,-12646.426
1,-13300.305,-12628.946
2,-13246.148,-12614.32
3,-13230.348,-12618.6
4,-13284.074,-12622.013
5,-13248.819,-12621.561
6,-13279.607,-12614.261
7,-13258.962,-12609.365
8,-13206.532,-12601.963
9,-13281.18,-12651.745
10,-13264.656,-12647.972
11,-13243.663,-12645.898
12,-13249.7295,-12609.659
13,-13297.336,-12587.551
14,-13246.584,-12635.539
15,-13238.965,-12614.863
16,-13275.638,-12629.803
17,-13280.724,-12654.299
18,-13286.01,-12651.279
19,-13244.955,-12594.119
20,-13250.113,-12579.478
21,-13233.889,-12654.716
22,-13292.006,-12637.295
23,-13268.196,-12648.114
24,-13284.309,-12651.4375
25,-13231.627,-12622.695
26,-13262.576,-12623.131
27,-13261.242,-12626.678
28,-13293.43,-12630.538
29,-13256.793,-12643.094
30,-13286.26,-12671.7705
31,-13264.086,-12618.672
32,-13238.102,-12668.204
33,-13265.203,-12625.499
34,-13228.023,-12631.476
35,-13278.078,-12710.436
36,-13240.082,-12648.854
37,-13252.554,-12625.348
38,-13198.368,-12672.117
39,-13262.006,-12667.695
40,-13225.957,-12618.952
41,-13236.371,-12654.579
42,-13226.761,-12676.529
43,-13260.48,-12645.924
44,-13268.238,-12657.399
45,-13260.557,-12619.898
46,-13265.361,-12644.485
47,-13287.42,-12631.055
48,-13262.716,-12667.018
49,-13299.8125,-12639.658
50,-13277.585,-12642.705
51,-13226.432,-12645.841
52,-13234.043,-12651.033
53,-13231.538,-12678.795
54,-13217.742,-12651.559
55,-13284.194,-12641.447
56,-13247.455,-12635.088
57,-13255.529,-12636.472
58,-13238.164,-12640.01
59,-13240.192,-12659.928
60,-13257.951,-12648.184
61,-13251.818,-12646.222
62,-13225.872,-12656.69
63,-13261.63,-12676.951
64,-13234.98,-12647.412
65,-13303.743,-12600.179
66,-13264.639,-12654.578
67,-13243.954,-12650.159
68,-13242.778,-12653.5205
69,-13259.818,-12659.242
70,-13231.654,-12691.287
71,-13215.553,-12654.174
72,-13237.681,-12675.998
73,-13232.692,-12658.482
74,-13263.219,-12647.568
75,-13261.62,-12686.348
76,-13257.141,-12660.5
77,-13271.916,-12658.375
78,-13213.946,-12672.363
79,-13222.941,-12631.889
80,-13251.486,-12657.68
81,-13255.241,-12654.705
82,-13231.67,-12653.078
83,-13259.122,-12645.811
84,-13205.061,-12620.69
85,-13202.043,-12667.002
86,-13252.024,-12677.888
87,-13241.836,-12636.951
88,-13233.722,-12637.801
89,-13220.589,-12677.318
90,-13235.277,-12653.836
91,-13235.207,-12641.165
92,-13250.924,-12645.529
