,agent1,agent2
0,-15493.631,-15035.809
1,-15047.789,-14663.553
2,-14629.1875,-14360.74
3,-14318.443,-14047.843
4,-13983.296,-13839.961
5,-13736.835,-13573.277
6,-13459.935,-13369.537
7,-13201.424,-13180.422
8,-13091.6045,-13029.274
9,-12845.677,-12784.549
10,-12655.797,-12640.109
11,-12548.889,-12445.109
12,-12368.799,-12312.279
13,-12189.171,-12113.529
14,-12065.825,-11964.807
15,-11919.615,-11856.165
16,-11761.598,-11657.084
17,-11614.147,-11494.553
18,-11506.76,-11330.084
19,-11325.831,-11208.95
20,-11230.9,-11111.81
21,-11090.434,-10914.893
22,-10938.018,-10824.194
23,-10842.051,-10619.479
24,-10711.5,-10522.033
25,-10538.621,-10442.358
26,-10449.348,-10322.014
27,-10366.386,-10231.271
28,-10222.648,-10148.479
29,-10122.491,-10021.587
30,-10004.843,-9950.01
31,-9921.109,-9807.034
32,-9816.69,-9756.968
33,-9689.977,-9690.191
34,-9609.132,-9567.828
35,-9535.02,-9491.156
36,-9458.0625,-9455.248
37,-9327.282,-9361.699
38,-9258.602,-9298.976
39,-9142.016,-9224.84
40,-9057.222,-9166.4375
41,-9053.729,-9122.746
42,-8994.589,-9041.608
43,-8905.0205,-9014.558
44,-8844.078,-8973.127
45,-8829.298,-8869.184
46,-8750.646,-8814.128
47,-8689.71,-8825.029
48,-8640.58,-8766.484
49,-8601.174,-8736.048
50,-8598.408,-8702.545
51,-8556.041,-8631.703
52,-8496.197,-8670.109
53,-8458.838,-8633.867
54,-8478.021,-8574.756
55,-8420.764,-8530.23
56,-8415.863,-8532.666
57,-8408.309,-8517.773
58,-8375.709,-8455.598
59,-8373.825,-8521.557
60,-8335.872,-8481.145
61,-8300.779,-8447.625
62,-8316.343,-8423.972
63,-8319.25,-8394.835
64,-8270.989,-8412.279
65,-8265.215,-8391.005
66,-8261.063,-8342.082
67,-8291.016,-8336.987
68,-8244.695,-8363.974
69,-8236.104,-8361.182
70,-8195.965,-8321.018
71,-8185.5054,-8333.016
72,-8206.164,-8331.793
73,-8216.705,-8304.693
74,-8192.451,-8314.781
75,-8169.574,-8307.793
76,-8201.992,-8313.479
77,-8204.999,-8290.717
78,-8198.605,-8275.457
79,-8199.02,-8281.651
80,-8178.24,-8279.466
81,-8212.176,-8299.009
82,-8210.276,-8279.674
83,-8167.119,-8274.595
84,-8161.581,-8285.911
85,-8227.996,-8270.865
86,-8195.88,-8281.678
87,-8187.539,-8270.504
88,-8157.4937,-8292.032
89,-8163.665,-8259.939
90,-8153.4,-8273.357
91,-8152.0835,-8215.846
92,-8177.207,-8252.451
93,-8154.0967,-8269.09
94,-8178.8594,-8277.316
95,-8159.048,-8268.194
96,-8150.225,-8257.235
97,-8164.2773,-8273.611
98,-8140.083,-8266.946
99,-8100.997,-8223.557
100,-8129.7915,-8237.244
101,-8155.36,-8247.291
102,-8155.506,-8175.5522
103,-8148.465,-8245.943
104,-8097.278,-8246.66
105,-8144.796,-8212.107
106,-8149.624,-8246.168
107,-8121.241,-8211.443
108,-8119.3423,-8220.928
109,-8130.356,-8185.1074
110,-8096.369,-8220.949
111,-8093.5938,-8210.406
112,-8155.0845,-8200.408
113,-8121.42,-8240.575
114,-8117.0005,-8204.023
115,-8112.2114,-8233.607
116,-8098.844,-8208.517
117,-8106.4463,-8238.4
118,-8101.5195,-8187.014
119,-8089.494,-8197.709
120,-8104.3867,-8216.769
121,-8137.4185,-8213.566
122,-8110.6846,-8223.676
123,-8110.6875,-8206.314
124,-8116.6074,-8200.758
125,-8102.286,-8174.5073
126,-8126.095,-8200.429
127,-8130.4946,-8204.906
128,-8087.6074,-8192.273
129,-8088.742,-8231.342
130,-8092.0186,-8188.1807
131,-8080.061,-8137.707
132,-8085.8413,-8238.114
133,-8079.2075,-8202.1
134,-8075.965,-8195.561
135,-8058.0063,-8232.955
136,-8091.576,-8203.425
137,-8085.8945,-8175.022
138,-8088.871,-8191.168
139,-8093.8306,-8145.942
140,-8083.6514,-8169.2407
141,-8055.2705,-8187.2007
142,-8054.35,-8132.8955
143,-8045.8325,-8183.283
144,-8068.2925,-8189.8477
145,-8102.4253,-8185.4463
146,-8072.808,-8146.9766
147,-8081.855,-8159.451
148,-8034.3613,-8167.668
